序号,核心词汇 (Terminology),简要解释 (Simple Explanation),
46,Atomic force microscopy (AFM),原子力显微镜：使用微悬臂探针扫描样品表面，通过测量探针与样品间作用力，获得表面形貌和力学性质。,
47,Contact mode / Tapping mode,接触模式/轻敲模式：AFM的两种主要成像模式，探针分别持续接触或间歇接触样品表面。,
48,Scanning tunneling microscopy (STM),扫描隧道显微镜：利用量子隧穿效应，测量导电探针与样品间的隧穿电流，实现原子级表面成像和操纵。,
49,Super-resolution microscopy / Nanoscopy,超分辨光学显微镜/显纳镜：突破光学衍射极限（~200 nm）获得更高分辨率（20-50 nm）的荧光成像技术。,
50,Stimulated emission depletion (STED),受激发射损耗显微镜：一种超分辨技术，使用一束实心激发光和一束环形损耗光，有效缩小荧光发光点。,
51,Photoactivated localization microscopy (PALM),光激活定位显微镜：利用光激活荧光蛋白的随机发光和精确定位，重构出超分辨图像。,
52,Stochastic optical reconstruction microscopy (STORM),随机光学重构显微镜：原理与PALM类似，但使用可光开关的有机染料。,
53,Surface plasmon resonance (SPR),表面等离子体共振：利用金属薄膜表面折射率变化实时监测分子间相互作用，无标记。,
54,Quartz crystal microbalance (QCM),石英晶体微天平：通过测量石英晶体谐振频率的变化，实时监测纳克级的质量变化，如分子吸附。,
55,Biodistribution,生物分布：材料（如药物、纳米颗粒）在生物体内不同器官、组织中的分布情况。,
56,Gold nanoclusters,金纳米簇：由几个到几十个金原子组成的超小纳米颗粒，具有强荧光发射，可用于生物成像和药物递送。,
57,Antibacterial mechanism,抗菌机理：材料杀死或抑制细菌生长的原理，如破坏细胞膜、产生活性氧、释放离子等。,
58,Outer membrane vesicles (OMVs),外膜囊泡：革兰氏阴性菌外膜脱落形成的囊泡结构，可能在应激（如抗菌材料处理）时产生。,
59,DNA-PAINT,基于DNA的纳米级地形成像点累积：一种超分辨技术，利用DNA链的瞬时杂交实现单分子定位。,
60,Tapping mode (AFM),轻敲模式，AFM探针间歇性轻敲样品表面，减少损伤。,
61,Single particle analysis,单颗粒分析，通过分析大量单个颗粒投影重建三维结构。,
62,Secondary electrons,二次电子，由入射电子激发产生，用于表面形貌成像。,
63,Polyurethane (PUR),聚氨酯，具有良好的血液相容性，用于心脏辅助装置。,
64,Polytrimethylenecarbonate (PTMC),聚三亚甲基碳酸酯，可生物降解的弹性聚合物。,
65,Polylactide (PLA),聚乳酸，可生物降解的聚酯，用于可吸收缝合线和药物载体。,
66,Polyglycolide (PGA),聚乙醇酸，可生物降解的聚合物，常用于手术缝合线。,
67,Polyethylene terephthalate (PET),聚对苯二甲酸乙二醇酯，用于人工血管和植入物。,
68,Polarizing microscope,偏光显微镜，利用偏振光观察各向异性材料。,
69,Phase-contrast microscopy,相差显微镜，利用相位差转换为振幅差观察透明样品。,
70,One-dimensional nanomaterials,一维纳米材料：纳米纤维、纳米柱、纳米管等。,
71,Numerical aperture (NA),数值孔径，物镜收集光线的能力，决定显微镜分辨率。,
72,Neutron diffraction,中子衍射，利用中子束研究材料结构。,
73,Nanotubes,中空圆柱形纳米结构，如碳纳米管，具有优异的力学和电学性能。,
74,Laser scanning confocal microscopy,激光共焦扫描显微镜，通过针孔滤除离焦光获得高分辨率。,
75,Lambert-Beer Law,朗伯-比尔定律，描述吸光度与浓度和光程的线性关系。,
76,Fluorescent microscope,荧光显微镜，利用荧光染料或蛋白标记特定结构。,
77,Flow cytometry,流式细胞术，快速分析单个细胞特性的技术。,
78,Extracellular matrix,细胞外基质，细胞周围的支撑结构，具有层级结构。,
79,Expanded polytetrafluoroethylene (ePTFE),膨体聚四氟乙烯，生物相容性材料，用于血管移植物。,
80,Ellipsometry,椭偏仪，测量薄膜厚度和光学常数的技术。,
81,Electron spin resonance (ESR),电子自旋共振，检测未成对电子的波谱技术。,
82,De Broglie wavelength,德布罗意波长，描述微观粒子波动性的波长。,
83,Dark-field microscopy,暗场显微镜，利用散射光成像，增强对比度。,
84,Back-scattered electrons,背散射电子，入射电子被弹性散射后返回，与原子序数相关。,
