序号,核心词汇,简要解释
626,furious,狂怒的；激烈的
627,thwart,反对；阻碍；阻挠
628,spangle,闪光的饰品；；使发光
629,suffragette,女权主义者
630,medieval,中世纪的
631,embody,体现
632,chivalry,骑士精神（复数chivalries）；绅士风度
633,compliment,赞扬
634,reign,统治；支配；统治时期
635,prowess,英勇；超凡技术；勇猛
636,sinew,筋；肌腱；体力；精力
637,dexterous,灵巧的；敏捷的；惯用右手的
638,malice,恶意;恶毒
639,impetuous,冲动的；猛烈的；鲁莽的
640,treacherous,背信弃义的
641,munificent,慷慨的
642,circumspect,谨慎的，小心的
643,ineptitude,无能
644,tenable,站的住脚的；合理的
645,unearth,挖掘
646,paramount,至高无上的；最重要的（没有比较级和最高级）
647,bolt,弩箭；门闩
648,fealty,忠诚
649,flay,剥皮
650,pompous,高傲的，自大的
651,demise,死亡;终止
652,impoverish,贫穷
653,audacious,厚颜无耻的；大胆鲁莽的
654,cumulative,积累的
655,prudent,谨慎的
656,quirk,"怪癖,奇事"
657,cosmos,宇宙
658,margin,边缘，利润
659,zealous,热心的，热忱的
660,discretion,选择的自由；谨慎；判断力
661,circumvent,绕过；巧妙地规避
662,dynamo,发电机
663,charcoal,木炭
664,agile,灵活的，轻快的
665,ruckus,争吵
666,exemplify,举例说明
667,venerable,古老的;值得尊敬的
668,stilt,高跷
669,impersonator,模仿者，演员
670,teeter,步履蹒跚
671,console,安慰
672,bondage,奴役，束缚
673,brawl,争吵
674,exuberant,茁壮成长的，
675,attic,阁楼
676,buoyant,上涨的；有浮力的
677,burgeoning,迅速发展的
678,fugitive,逃亡者
679,overwhelmingly,势不可挡地
680,vaporize,蒸发
681,flirtatious,爱调情的
682,stance,立场
683,reversal,反转，反向
684,portfolio,投资组合
