序号,核心词汇,简要解释
102,huddle,把挤在一起；使缩成一团；草率了事；拥挤；混乱；杂乱一团
103,visa,签证；签发签证
104,competence,能力，胜任；权限；作证能力；足以过舒适生活的收入
105,torpedo,鱼雷；水雷；油井爆破筒；电鳐；职业杀手；破坏；用鱼雷袭击
106,payable,应付的；到期的；可付的；可获利的
107,republican,共和国的；共和政体的；共和主义的；拥护共和政体的；共和主义者
108,across,穿过；横穿；横过；在对面
109,sense,感觉，功能；观念；道理；理智；感觉到；检测
110,casino,俱乐部，赌场；娱乐场
111,rhino,犀牛（等于rhinoceros）；钱；现金
112,flood,淹没；充满；溢出；洪水；泛滥；一大批
113,bile,胆汁；愤怒
114,convince,说服；使确信，使信服
115,foray,涉足，初次尝试；突袭；侵略；攻击；袭击
116,unbearable,难以忍受的；承受不住的
117,make,使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成；制造；构造；性情
118,builder,建筑者；建立者
119,silage,青贮；把放入青贮窖；青贮饲料
120,cinema,电影；电影院；电影业，电影制作术
121,gospel,真理；信条；传播福音的；福音赞美诗的
122,interpose,提出（异议等）；使插入；使干涉
123,broker,经纪人，掮客；作为权力经纪人进行谈判
124,fanatic,狂热入迷者；盲信者；盲信；狂热的；盲信的
125,imply,意味；暗示；隐含
126,expressly,清楚地，明显地；特别地，专门地
127,extracurricular,课外的；业余的；婚外的
128,opposite,相反的；对面的；对立的；对立面；反义词；在…的对面；在对面
129,burdensome,繁重的；累赘的；恼人的
130,misbehave,作弊；行为不礼貌
131,malignancy,恶性（肿瘤等）；恶意
132,bloom,花；青春；旺盛；使开花；使茂盛
133,born,出世（bear的过去分词）；天生的；(Born)人名；(柬)邦；(英、西、俄、捷、德、瑞典、匈)博恩
134,dishwasher,洗碗工；洗碟机
135,lounge,休息室；闲逛；躺椅；（英）酒吧间；闲逛；懒洋洋地躺卧；闲混
136,tunnel,隧道；坑道；洞穴通道；挖；在…打开通道；在…挖掘隧道
137,redemption,赎回；拯救；偿还；实践
138,chest,胸，胸部；衣柜；箱子；金库
139,add,加；增加；加起来；做加法；加法，加法运算
140,dairy,奶制品；乳牛；制酪场；乳品店；牛奶及乳品业；乳品的；牛奶的；牛奶制的；产乳的
141,clergy,神职人员；牧师；僧侣
142,prescribe,规定；开药方
143,quartz,石英
144,pill,药丸；弹丸，子弹；口服避孕药；把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
145,covenant,契约，盟约；圣约；盖印合同；订立盟约、契约
146,parallel,平行线；对比；使…与…平行；平行的；类似的，相同的
147,allergic,对…过敏的；对…极讨厌的
148,twist,捻；拧；扭伤；编织；使苦恼；扭曲；拧；扭伤
149,swipe,猛击；偷窃；刷…卡；猛击；尖刻的话
150,princess,公主；王妃；女巨头
151,absolute,绝对的；完全的；专制的；绝对；绝对事物
152,warrior,战士，勇士；鼓吹战争的人
153,electronics,电子学；电子工业
154,flowerbed,花圃；花床
155,unconditional,无条件的；绝对的；无限制的
156,joy,欢乐，快乐；乐趣；高兴；欣喜，欢喜
157,federalist,联邦党；联邦制拥护者；支持北部联邦者；（支持）联邦党人的；联邦制的
158,along,一起；向前；来到；沿着；顺着
159,ungodly,邪恶的；不敬畏神的；荒唐的
160,critic,批评家，评论家；爱挑剔的人
161,initiative,主动权；首创精神；主动的；自发的；起始的
162,heroine,女主角；女英雄；女杰出人物
163,stern,船尾；末端；严厉的；坚定的
164,nation,国家；民族；国民
165,commensurate,相称的；同量的；同样大小的
166,logistics,[军] 后勤；后勤学
167,enamel,搪瓷；珐琅；瓷釉；指甲油；彩饰；涂以瓷釉
168,feudal,封建制度的；领地的；世仇的
169,sophisticate,弄复杂；使变得世故；曲解；久经世故的人；精通者
170,mirth,欢笑；欢乐；高兴
171,showcase,陈列橱，[家具] 陈列柜；显示优点的东西；使展现；在玻璃橱窗陈列
172,secession,脱离；分离
173,trousers,裤子，长裤
174,recommendation,推荐；建议；推荐信
175,plenipotentiary,全权代表的；有全权的；全权代表；全权大使
176,negotiation,谈判；转让；顺利的通过
177,ominous,预兆的；不吉利的
178,technique,技巧，技术；手法
179,detour,使…绕道而行；绕道；便道
180,shatter,粉碎；打碎；破坏；破掉；使散开；碎片；乱七八糟的状态
181,stow,装载；收藏；使暂留；堆装；(Stow)人名；(英)斯托
182,Mongolian,蒙古人；蒙古语；蒙古人的；蒙古语的
183,month,月，一个月的时间
184,own,拥有；承认；自己的；特有的；自己的
185,achieve,取得；获得；实现；成功
186,farmhouse,农家，[农工] 农舍
187,receptive,善于接受的；能容纳的
188,sundial,日晷，日规；羽扇豆（产于美国东部）
189,tan,（日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团；鞣（革）；晒成褐色；黄褐色的；鞣皮的
190,lamb,羔羊，小羊；羔羊肉；生小羊，产羔羊
191,silo,筒仓；青贮窖；飞弹发射井；把…存入青贮窖；把…储存在筒仓内
192,post,岗位；邮件；标杆；张贴；公布；邮递；布置
193,disagree,不同意；不一致；争执；不适宜
194,evil,邪恶的；不幸的；有害的；讨厌的；罪恶，邪恶；不幸
195,flicker,闪烁；摇曳；颤动；扑动翅膀；假装昏倒；闪烁；闪光；电影
196,clench,紧握；确定；把…敲弯；紧抓；敲环脚
197,clamour,吵闹；大声地要求；喧闹
198,cask,木桶，桶；装入桶内
199,upright,正直的，诚实的；垂直的，直立的；笔直的；合乎正道的；垂直；竖立
200,freeze,冻结；冷冻；僵硬；冻结；凝固
201,assassin,刺客，暗杀者
202,alga,水藻
203,sin,罪恶；罪孽；过失；犯罪；犯过失
204,horsepower,马力（功率单位）
205,martial,军事的；战争的；尚武的；(Martial)人名；(法)马夏尔
206,author,作者；作家；创始人；创作出版
207,impolite,无礼的；粗鲁的
208,concerning,关于；就…而言；涉及；使关心（concern的ing形式）；忧虑
209,equity,公平，公正；衡平法；普通股；抵押资产的净值
210,enquire,询问；调查；问候（等于inquire）
211,tract,束；大片土地，地带；小册子
212,edgy,急躁的；尖利的；刀口锐利的
213,freely,自由地；免费地；大量地；慷慨地；直率地
214,rapidly,迅速地；很快地；立即
215,spontaneous,自发的；自然的；无意识的
216,stare,凝视，盯着看；显眼；凝视；注视
217,circumvent,包围；智取；绕行，规避
218,inflammation,[病理] 炎症；[医] 发炎；燃烧；发火
219,actually,实际上；事实上
220,amphibian,[脊椎] 两栖动物；水陆两用飞机；具有双重性格的人；两栖类的；[车辆] 水陆两用的；具有双重性格的
221,spew,喷出；呕吐
222,north,北，北方；北方的；朝北的；在北方，向北方
223,moisture,水分；湿度；潮湿；降雨量
224,bony,骨的；多骨的；瘦骨嶙峋的；似骨的；(Bony)人名；(法)博尼
225,preference,偏爱，倾向；优先权
226,illicit,违法的；不正当的
227,assault,攻击；袭击
228,fetish,恋物（等于fetich）；迷信；偶像
229,cosmopolitan,世界性的；世界主义的，四海一家的；四海为家者；世界主义者；世界各地都有的东西
230,arbiter,[法] 仲裁者；裁决人
231,calamity,灾难；不幸事件
232,subject,主题；科目；[语] 主语；国民；服从的；易患…的；受制于…的；使…隶属；使屈从于…
233,intercept,拦截；截断；窃听；拦截；[数] 截距；截获的情报
234,paragraph,段落；短评；段落符号；将…分段
235,comedy,喜剧；喜剧性；有趣的事情
236,qualitative,定性的；质的，性质上的
237,repulsion,排斥；反驳；反感；厌恶
238,dispirited,沮丧的；没有精神的；意气消沉的；使…沮丧；使…气馁（dispirit的过去分词）
239,gaoler,监狱看守；监狱长
240,astronaut,宇航员，航天员；太空旅行者
241,absentee,缺席者
242,wake,醒来；唤醒；警觉；尾迹；守夜；守丧
243,endurable,能忍耐的；可忍受的；能持久的
244,scarcely,几乎不，简直不；简直没有
245,recession,衰退；不景气；后退；凹处
246,earth,地球；地表，陆地；土地，土壤；尘事，俗事；兽穴；把（电线）[电] 接地；盖（土）；追赶入洞穴
247,mileometer,计程表
248,uneven,不均匀的；不平坦的；[数] 奇数的
249,vent,（感情的）发泄；出口；通风孔；发泄感情；放出…；给…开孔
250,nearby,附近的，邻近的；在附近；在…附近
251,fourth,第四的，第四个的；四分之一的；第四，月的第四日；四分之一；第四
252,bun,小圆面包
253,macaroni,通心粉；通心面条；纨绔子弟
254,wool,羊毛；毛线；绒线；毛织品；毛料衣物
255,draft,汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流；起草；制定；征募；初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的
256,ferment,发酵；酵素；动乱；发酵；动乱
257,trickle,滴；细细地流；慢慢地移动；滴，淌；细流
258,capitalism,资本主义
259,shawl,围巾，长方形披巾；用披巾包裹
260,recognition,识别；承认，认出；重视；赞誉；公认
261,disrepute,不光彩，坏名声
262,shabby,破旧的；卑鄙的；吝啬的；低劣的
263,advance,发展；前进；增长；预付款；提出；预付；使……前进；将……提前；预先的；先行的
264,conscientiously,良心上
265,headship,能力；领导者的职位；校长的职位；职务
266,loom,织布机；若隐若现的景象；可怕地出现；朦胧地出现；隐约可见
267,talk,说；谈话；讨论；谈话；演讲；空谈
268,sister,姐妹；（称志同道合者）姐妹；修女；护士；姐妹般的；同类型的
269,operational,操作的；运作的
270,pursue,继续；从事；追赶；纠缠
271,exceedingly,非常；极其；极度地；极端
272,parole,语言；誓言，诺言；释放宣言；有条件释放，假释；使假释出狱；宣誓后释放
273,embody,体现，使具体化；具体表达；(Embody)人名；(英)恩博迪
274,manifold,复写，复印；增多；使……多样化；多方面的，有许多部分的；各式各样的；多种；复印本
275,station,车站；驻地；地位；身份；配置；安置；驻扎
276,observer,观察者；[天] 观测者；遵守者
277,penthouse,阁楼；顶层公寓，屋顶房间
278,depository,贮藏所；受托者；存储处；保管的；存储的
279,greed,贪婪，贪心
280,copper,铜；铜币；警察；铜制的；镀铜
281,fund,基金；资金；存款；投资；资助
282,fuzz,绒毛；模糊；细毛；警员；作绒毛状飞散；变成绒毛状；变得模糊；使模糊；起毛
283,sacrifice,牺牲；祭品；供奉；牺牲；献祭；亏本出售
284,fix,使固定；修理；安装；准备；困境；方位；贿赂
285,ration,配给；定量供应；定量；口粮；配给量
286,trip,绊倒；远足；犯错误；轻快地走；旅行；绊倒；差错
287,superstition,迷信
288,this,这；这个；这里；这；本；这个；今；这样地；这么；(This)人名；(法)蒂斯
289,depart,离开；出发，起程；违反；去世；逝世的
290,diary,日志，日记；日记簿
291,vaccination,接种疫苗；种痘
292,relativity,相对论；相关性；相对性
293,certificate,发给证明书；以证书形式授权给…；用证书批准；证书；执照，文凭
294,multilateral,[数] 多边的；多国的，多国参加的
295,bowl,碗；木球；大酒杯；玩保龄球；滑动；平稳快速移动
296,intuitive,直觉的；凭直觉获知的
297,documentary,记录的；文件的；记实的；纪录片
298,dread,恐惧；可怕的人（或物）；惧怕；担心；可怕的
299,true,真实的；正确的；真实地；准确地；真实；准确；装准
300,badger,獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊；纠缠不休；吵着要；烦扰
301,part,部分；角色；零件；一些；片段；分离；分配；分开；部分地；部分的
302,whirlwind,旋风；旋风般的快速行动；旋风般的
303,emblem,象征；徽章；符号；象征；用符号表示；用纹章装饰
304,small,少的，小的；微弱的；几乎没有的；不重要的；幼小的；小小地；卑鄙地；小件物品；矮小的人
305,extremity,极端；绝境；非常手段；手足
306,texture,质地；纹理；结构；本质，实质
307,pendulum,钟摆；摇锤；摇摆不定的事态
308,diction,用语；措词
309,current,现在的；流通的，通用的；最近的；草写的；（水，气，电）流；趋势；涌流
310,abacus,算盘
311,donut,炸面圈；环状线圈（等于doughnut）
312,eye,眼睛；视力；眼光；见解，观点；注视，看
313,monstrous,巨大的；怪异的；荒谬的；畸形的
314,riot,暴乱；放纵；蔓延；骚乱；放荡
315,adjustment,调整，调节；调节器
316,chore,家庭杂务；日常的零星事务；讨厌的或累人的工作
317,brother,兄弟；同事；战友；我的老兄！
318,lute,琵琶；弹诗琴；弹诗琴表达；用封泥封
319,miser,守财奴；吝啬鬼；（石油工程上用的）凿井机
320,barometre,气压表；晴雨表
321,worthwhile,值得做的，值得花时间的
322,plaid,格子花呢；格子图案；有格子图案的
323,violinist,小提琴演奏者，小提琴家
324,babble,喋喋不休；呀呀学语；作潺潺声；含糊不清的话；胡言乱语；潺潺声
325,worried,担心的
326,sanctuary,避难所；至圣所；耶路撒冷的神殿
327,ruddy,红的；红润的；极度；非常；使变红；变红；(Ruddy)人名；(英)拉迪
328,earn,赚，赚得；获得，挣得；使得到；博得；(Earn)人名；(泰)炎
329,December,十二月
330,conceivable,可能的；想得到的，可想像的
331,everlasting,永恒的；接连不断的
332,redress,救济；赔偿；纠正；重新调整；救济；赔偿；矫正
333,affectionate,深情的；
334,waterproof,防水的，不透水的；使防水；防水材料
335,unpretentious,谦逊的；含蓄的；不炫耀的；不铺张的
336,biography,传记；档案；个人简介
337,mahogany,桃花心木，红木；红褐色
338,convert,使转变；转换…；使…改变信仰；皈依者；改变宗教信仰者
339,scorn,轻蔑；嘲笑；藐视的对象；轻蔑；藐视；不屑做
340,byproduct,副产品
341,rating,等级；等级评定；额定功率；对…评价（rate的ing形式）
342,performance,性能；绩效；表演；执行；表现
343,jeer,嘲笑；戏弄；揶揄的言语；嘲笑；戏弄
344,fluctuate,波动；涨落；动摇
345,deadly,致命的；非常的；死一般的；非常；如死一般地
346,heathen,异教徒；粗野的人；异教的；野蛮的
347,volt,伏特（电压单位）；环骑；闪避
348,amoral,与道德无关的；无从区分是非的；超道德的
349,quadrangle,四边形；方院
350,school,学校；学院；学派；鱼群；教育
351,impulsive,冲动的；受感情驱使的；任性的
352,everyday,每天的，日常的；平时；寻常日子
353,cyclone,旋风；[气象] 气旋；飓风
354,cameo,（影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
355,equivalence,等值；相等
356,applicant,申请人，申请者；请求者
357,theologian,神学者；空头理论家
358,vanquish,征服；击败；克服；抑制（感情等）
359,dupe,上当者；易受骗的人；欺骗；愚弄（等于duplicate）
360,overview,[图情] 综述；概观
361,coffee,咖啡；咖啡豆；咖啡色
362,stupid,愚蠢的；麻木的；乏味的；傻瓜，笨蛋
363,escort,陪同；护航舰；护卫队；护送者；护送；陪同；为…护航
364,monarch,君主，帝王；最高统治者
365,chisel,雕，刻；凿；欺骗；凿子
366,head,头；头痛；上端；最前的部分；理解力；前进；用头顶；作为…的首领；站在…的前头；给…加标题；头的；主要的；在顶端的
367,network,网络；广播网；网状物
368,audio,声音的；[声] 音频的，[声] 声频的
369,rebirth,再生；复兴
370,shellfish,甲壳类动物；贝类等有壳的水生动物
371,tyrant,暴君
372,grind,磨碎；磨快；磨；苦工作
373,terrible,可怕的；很糟的；令人讨厌的；很，非常
374,buoy,[水运] 浮标；浮筒；救生圈；航标；使浮起；支撑；鼓励
375,prestige,威望，声望；声誉
376,supersede,取代，代替；紧接着……而到来
377,literally,照字面地；逐字地；不夸张地；正确地；简直
378,beaker,烧杯；大口杯
379,occur,发生；出现；存在
380,grandmother,祖母；女祖先；当…的祖母；当祖母
381,acclaim,称赞；为…喝彩，向…欢呼；欢呼，喝彩；称赞
382,Italian,意大利的；意大利文化的；意大利语的；意大利人；意大利语
383,oxide,[化学] 氧化物
384,viable,可行的；能养活的；能生育的
385,involve,包含；牵涉；使陷于；潜心于
386,fearless,无畏的；大胆的
387,superintend,监督；管理；主管；指挥
388,maternity,母性，母道；[妇产] 妇产科医院；产科的；产妇的，孕妇的
389,dig,挖，掘；探究；戳，刺；挖苦
390,wherever,无论什么地方；究竟在哪里；无论在哪里；无论什么情况下
391,foam,泡沫；水沫；灭火泡沫；起泡沫；吐白沫；起着泡沫流动
392,comparative,比较的；相当的；比较级；对手
393,allegory,寓言
394,tinkle,使发清脆的声响；叮当声
395,sprain,扭伤
396,agent,代理人，代理商；药剂；特工；由…作中介；由…代理；代理的
397,answer,回答；符合；回答；答案；答辩
398,cube,立方；立方体；骰子；使成立方形；使自乘二次；量…的体积
399,gossip,小道传闻；随笔；爱说长道短的人；闲聊；传播流言蜚语
400,jerk,肌肉抽搐；性情古怪的人；蠢人；急拉；痉挛；急拉；颠簸地行进
401,elderly,上了年纪的；过了中年的；稍老的
402,zero,零点，零度；零
403,demonstrable,可论证的；显而易见的
404,farmhand,[农经] 农场工人
405,floor,地板，地面；楼层；基底；议员席；铺地板；打倒，击倒；（被困难）难倒
406,semantic,语义的；语义学的（等于semantical）
407,fisherman,渔夫；渔人
408,lay,躺下；产卵；搁放；放置；铺放；涂，敷；世俗的；外行的；没有经验的；位置；短诗；花纹方向；叙事诗；性伙伴
409,glider,[航] 滑翔机；滑翔员；滑翔导弹
410,constable,治安官，巡警；警察
411,concentrate,集中；浓缩；全神贯注；聚集；浓缩，精选；浓缩液
412,pursuit,追赶，追求；职业，工作
413,melodrama,情节剧；音乐剧；耸人听闻的事件，闹剧
414,bass,鲈鱼；男低音；低音部；椴树；低音的
415,compound,[化学] 化合物；混合物；复合词；复合的；混合的；合成；混合；恶化，加重；和解，妥协
416,moat,护城河；壕沟；将围以壕沟
417,canal,运河；[地理] 水道；[建] 管道；灌溉水渠；在…开凿运河
418,luxuriant,繁茂的；丰富的；奢华的；肥沃的
419,whoever,无论谁；任何人；《爱谁谁》（电影名）
420,assorted,组合的；各种各样的；混杂的；把…分等级；把…归为一类（assort的过去分词）
421,flea,跳蚤；低廉的旅馆；生蚤的动物
422,mane,（马等的）鬃毛
423,delegate,委派…为代表；代表
424,dissimilar,不同的
425,ownership,所有权；物主身份
426,earthenware,陶器；土器
427,alien,外国的；相异的，性质不同的；不相容的；外国人，外侨；外星人；让渡，转让
428,sensible,明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;；可感觉到的东西; 敏感的人;
429,faraway,遥远的；恍惚的
430,dosage,剂量，用量
431,disintegrate,使分解；使碎裂；使崩溃；使衰变
432,preoccupation,全神贯注，入神；当务之急；关注的事物；抢先占据；成见
433,schoolchild,学童
434,plane,飞机；平面；程度，水平；刨；乘飞机旅行；翱翔；平的；平面的
435,apprehend,理解；逮捕；忧虑
436,erasure,消除；涂擦的痕迹；消磁
437,laundry,洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
438,ravine,沟壑，山涧；峡谷
439,front,前面；正面；前线；面对；朝向；对付；前面的；正面的；在前面；向前
440,microbiology,微生物学
441,laboratory,实验室，研究室
442,diligence,勤奋，勤勉；注意的程度
443,multiple,多重的；多样的；许多的；倍数；[电] 并联
444,stick,刺，戳；伸出；粘贴；棍；手杖；呆头呆脑的人
445,tangle,纠纷；混乱状态；使纠缠；处于混乱状态
446,macho,大男子气概的；强壮男子；大丈夫
447,patriotic,爱国的
448,tick,标记号于；滴答地记录；滴答声；扁虱；记号；赊欠
449,godfather,教父；当…的教父
450,resplendent,光辉的；华丽的
451,pulpit,讲道坛；高架操纵台；神职人员
452,woeful,悲哀的；悲惨的；遗憾的；不幸的
453,facility,设施；设备；容易；灵巧
454,intercontinental,洲际的；大陆间的
455,cocktail,鸡尾酒；开胃食品；鸡尾酒的
456,gastritis,[内科] 胃炎
457,preoccupied,全神贯注的；心事重重的；被先占的；抢先占有；使…全神贯注（preoccupy的过去式）
458,craft,工艺；手艺；太空船；精巧地制作
459,tragedy,悲剧；灾难；惨案
460,comparatively,比较地；相当地
461,rot,腐烂；腐败；腐坏；腐烂；腐败；堕落；（表示厌恶、蔑视、烦恼等）胡说；糟了
462,hardbitten,顽强的；经过磨炼的
463,footman,男仆，侍从；步兵
464,banquet,宴会，盛宴；宴请，款待；宴请，设宴款待
465,schoolmistress,女教师；女校长
466,dismissal,解雇；免职
467,philanthropic,博爱的；仁慈的
468,stomach,胃；腹部；胃口；忍受；吃下
469,equilibrium,均衡；平静；保持平衡的能力
470,conjunction,结合；[语] 连接词；同时发生
471,offhand,随便的；即时的；无准备的；即席的；随便地；即席地；即时地
472,skip,跳跃；跳绳；遗漏；跳读；跳跃；跳读
473,stove,火炉；窑；温室；用火炉烤
474,overturn,推翻；倾覆；破坏；倾覆；周转；破灭
475,strange,奇怪的；陌生的；外行的；奇怪地；陌生地，冷淡地；(Strange)人名；(英)斯特兰奇；(瑞典、塞)斯特朗格
476,such,这样的，如此的；(Such)人名；(英)萨奇；(德)祖赫
477,attorney,律师；代理人；检查官
478,sculpture,雕塑；雕刻；刻蚀
479,negligible,微不足道的，可以忽略的
480,undergo,经历，经受；忍受
481,beware,当心，小心
482,blush,脸红；感到惭愧；脸红；红色；羞愧
483,obscure,昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的；使…模糊不清，掩盖；隐藏；使难理解；某种模糊的或不清楚的东西
484,diametrically,完全地；作为直径地；直接地；正好相反地
485,slink,潜逃；溜走；早产的动物；鬼鬼祟祟的人；早产的
486,cooperate,合作，配合；协力
487,sue,控告；请求；(Sue)人名；(日)末(名)；(法)休；(英)休(女子教名Susan、Susanna的昵称)
488,incompetent,无能力的，不胜任的；不合适的；不适当的；无力的；无能力者
489,seclude,使隔离，使隔绝
490,nibble,细咬；一点一点地咬；吹毛求疵；轻咬；啃；细咬
491,item,条款，项目；一则；一件商品（或物品）；又，同上；记下；逐条列出
492,housekeeper,女管家；主妇
493,numb,使麻木；使发愣；使失去感觉；麻木的；发愣的
494,interrupt,中断；打断；插嘴；妨碍；中断
495,guttural,咽喉的；喉咙的；喉音的；喉音；喉音字
496,cardboard,[纸] 硬纸板；纸板箱；卡纸板；不真实的；硬纸板制的
497,mock,英国模拟考试（mocks）；愚弄，嘲弄；仿制的，模拟的，虚假的，不诚实的
498,villain,坏人，恶棍；戏剧、小说中的反派角色；顽童；罪犯
499,rage,愤怒；狂暴，肆虐；情绪激动；大怒，发怒；流行，风行
500,coinage,造币；[金融] 货币制度；新造的字及其语等
501,manful,勇敢的；果断的；有男子气概的
502,nice,精密的；美好的；细微的；和蔼的；(Nice)人名；(英)尼斯
503,oblige,迫使；强制；赐，施恩惠；责成；义务
504,sighting,瞄准；照准；视线；看见（sight的ing形式）
505,butter,涂黄油于；讨好；黄油；奶油；奉承话
506,proof,证明；证据；校样；考验；验证；试验；防…的；不能透入的；证明用的；耐…的；试验；校对；使不被穿透
507,scholar,学者；奖学金获得者
508,amongst,在…之中；在…当中（等于among）
509,habitable,可居住的；适于居住的
