序号,核心词汇,简要解释
63,accelerate,使……加快；使……增速
64,accent,口音；重音；强调；特点；重音符号；强调；重读；带…口音讲话
65,accentuate,强调；重读
66,acceptable,可接受的；合意的；可忍受的
67,acceptance,接纳；赞同；容忍
68,access,使用；存取；接近；进入；使用权；通路
69,accessible,易接近的；可进入的；可理解的
70,accession,增加；就职；到达；登记入册
71,accessory,配件；附件；[法] 从犯；副的；同谋的；附属的
72,accident,事故；意外；[法] 意外事件；机遇
73,accidental,意外的；偶然的；附属的；临时记号的；次要方面；非主要的特性；临时记号
74,acclaim,称赞；为…喝彩，向…欢呼；欢呼，喝彩；称赞
75,accommodate,容纳；使适应；供应；调解
76,accommodation,住处，膳宿；调节；和解；预订铺位
77,accompaniment,伴奏；伴随物
78,accompanist,伴奏者；伴随者
79,accompany,陪伴，伴随；伴奏
80,accomplice,同谋者，[法] 共犯
81,accomplish,完成；实现；达到
82,accomplished,完成的；熟练的，有技巧的；有修养的；有学问的
83,accomplishment,成就；完成；技艺，技能
84,accord,符合；一致；协议；自愿；使一致；给予
85,accordance,一致；和谐
86,according,相符的；一致的；相应的；和谐的；调和的；依照；根据；按照；给予( accord的现在分词 )；使和谐一致；使符合；使适合
87,accordingly,因此，于是；相应地；照著
88,accordion,可折叠的；手风琴
89,account,账户；解释；账目，账单；理由；描述；解释；导致；报账
90,accountable,有责任的；有解释义务的；可解释的
91,accountancy,会计工作；会计学；会计师之职
92,accountant,会计师；会计人员
93,accredit,授权；信任；委派；归因于
94,accrue,产生；自然增长或利益增加
95,accumulate,累积；积聚
96,accuracy,[数] 精确度，准确性
97,accurate,精确的
98,accusation,控告，指控；谴责
99,accuse,控告，指控；谴责；归咎于
100,accustom,使习惯于
101,ace,幺点；直接得分的发球；佼佼者；（俚）最好的朋友；一流的，突出的；以发球赢一分；击败；太棒了；太好了
102,ache,疼痛；渴望；疼痛
103,achieve,取得；获得；实现；成功
104,achievement,成就；完成；达到；成绩
105,acid,酸；<俚>迷幻药；酸的；讽刺的；刻薄的
106,acknowledge,承认；答谢；报偿；告知已收到
107,acknowledgement,承认；确认；感谢
108,acoustics,声学；音响效果，音质
109,acquaint,使熟悉；使认识
110,acquaintance,熟人；相识；了解；知道
111,acquiesce,默许；勉强同意
112,acquire,获得；取得；学到；捕获
113,acquisition,获得物，获得；收购
114,acquit,无罪释放；表现；脱卸义务和责任；清偿
115,acquittal,赦免；无罪开释；履行；尽职；（债务等的）清偿
116,acre,土地，地产；英亩
117,acrimony,辛辣；尖刻；严厉
118,acrobat,杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
119,acronym,首字母缩略词
120,across,穿过；横穿；横过；在对面
121,act,扮演；装作，举动像；行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
122,acting,代理的；装腔作势的；演技；演戏；假装
123,action,行动；活动；功能；战斗；情节
124,activate,刺激；使活动；使活泼；使产生放射性
125,active,积极的；活跃的；主动的；有效的；现役的；主动语态；积极分子
126,activist,积极分子；激进主义分子
127,activity,活动；行动；活跃
128,actor,男演员；行动者；作用物
129,actress,女演员
130,actual,真实的，实际的；现行的，目前的
131,actuality,现状；现实；事实
132,actually,实际上；事实上
133,acumen,聪明，敏锐
134,acupuncture,对…施行针刺疗法；针刺；[中医] 针刺疗法
135,acute,严重的，[医] 急性的；敏锐的；激烈的；尖声的
136,ad,公元；广告（ad）
137,adamant,固执的，坚强的；坚定不移的；坚硬无比的；坚硬的东西；坚石
138,adapt,使适应；改编
139,adaptable,适合的；能适应的；可修改的
140,adaptation,适应；改编；改编本，改写本
141,adapter,适配器；改编者；接合器；适应者
142,add,加；增加；加起来；做加法；加法，加法运算
143,addict,有瘾的人；入迷的人；使沉溺；使上瘾
144,addiction,上瘾，沉溺；癖嗜
145,addictive,使人上瘾的
146,addition,添加；[数] 加法；增加物
147,additional,附加的，额外的
148,additionally,此外；又，加之
149,additive,添加剂，添加物；附加的；[数] 加法的
150,address,演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理；地址；演讲；致辞；说话的技巧；称呼
151,adept,熟练的；擅长…的；内行；能手
152,adequate,充足的；适当的；胜任的
153,adhere,坚持；依附；粘着；追随
154,adherence,坚持；依附；忠诚
155,adhesive,粘合剂；胶黏剂；粘着的；带粘性的
156,adjacent,邻近的，毗连的
157,adjective,形容词的；从属的；形容词
158,adjoin,毗连，邻接
159,adjourn,休会；延期；换地方
160,adjudicate,裁定；宣判
161,adjunct,附属物；助手；修饰语；附属的
162,adjust,调整，使…适合；校准
163,adjustment,调整，调节；调节器
164,administer,管理；执行；给予
165,administration,管理；行政；实施；行政机构
166,administrative,管理的，行政的
167,administrator,管理人；行政官
168,admirable,令人钦佩的；极好的；值得赞扬的
169,admiral,海军上将；舰队司令；旗舰
170,admiration,钦佩；赞赏；羡慕；赞美
171,admire,钦佩；赞美
172,admissible,可容许的；可采纳的；可接受的
173,admission,承认；入场费；进入许可；坦白；录用
174,admit,承认；准许进入；可容纳
175,admittedly,公认地；无可否认地；明白地
176,admonish,告诫；劝告
177,ado,忙乱，纷扰，麻烦
178,adolescent,青春期的；未成熟的；青少年
179,adopt,采取；接受；收养；正式通过
180,adoption,采用；收养；接受
181,adore,崇拜；爱慕；喜爱；极喜欢；(Adore)人名；(法)阿多尔
182,adorn,装饰；使生色；(Adorn)人名；(泰)阿隆
183,adrift,漂泊的；漂浮着的；随波逐流地；漂浮着
184,adroit,敏捷的，灵巧的；熟练的
185,adult,成年的；成熟的；成年人
186,adulterate,通奸的；搀杂的；掺假
187,adultery,通奸，通奸行为
188,adulthood,成年；成人期
189,advance,发展；前进；增长；预付款；提出；预付；使……前进；将……提前；预先的；先行的
190,advanced,先进的；高级的；晚期的；年老的；前进；增加；上涨（advance的过去式和过去分词形式）
191,advantage,优势；利益；有利条件；获利
192,advantageous,有利的；有益的
193,advent,到来；出现；基督降临；基督降临节
194,adventure,冒险；冒险精神；投机活动；冒险；大胆说出
195,adventurism,冒险主义
196,adventurist,冒险主义者；冒险的
197,adventurous,爱冒险的；大胆的；充满危险的
198,adverb,副词；副词的
199,adverbial,状语的；副词的；状语
200,adversary,对手；敌手
201,adverse,不利的；相反的；敌对的（名词adverseness，副词adversely）
202,adversity,逆境；不幸；灾难；灾祸
203,advertise,通知；为…做广告；使突出
204,advertisement,广告，宣传
205,advertising,广告；广告业；登广告；广告的；广告业的；公告；为…做广告（advertise的ing形式）
206,advice,建议；忠告；劝告；通知
207,advisable,明智的，可取的，适当的
208,advise,建议；劝告，忠告；通知；警告
209,adviser,顾问；劝告者；指导教师（等于advisor）
210,advisory,咨询的；顾问的；劝告的；报告；公告
211,advocacy,主张；拥护；辩护
212,advocate,提倡，主张，拥护；提倡者；支持者；律师
213,aerial,空中的，航空的；空气的；空想的；[电讯] 天线
214,aerobatics,特技飞行；[航] 特技飞行术
215,aerobics,有氧运动法；增氧健身法
216,aerodynamics,[流] 气体力学；[航] 航空动力学
217,aeronautics,航空学；飞行术
218,aeroplane,飞机（等于airplane）
219,aerosol,[物化] 气溶胶；气雾剂；喷雾器；浮质；喷雾的；喷雾器的
220,aerospace,航空宇宙；[航] 航空航天空间
221,aesthetics,美学；美的哲学
222,affable,和蔼可亲的；友善的
223,affair,事情；事务；私事；（尤指关系不长久的）风流韵事
224,affect,影响；感染；感动；假装；情感；引起感情的因素
225,affection,喜爱，感情；影响；感染
226,affectionate,深情的；
227,affinity,密切关系；吸引力；姻亲关系；类同
228,affirm,肯定；断言
229,affirmative,肯定的；积极的；肯定语；赞成的一方
230,affix,粘上；署名；将罪责加之于；[语] 词缀；附加物
231,afflict,折磨；使痛苦；使苦恼
232,affluent,富裕的；丰富的；流畅的；支流；富人
233,afford,给予，提供；买得起；(Afford)人名；(英)阿福德
234,affordable,负担得起的
235,affront,冒犯，有意冒犯；面对；公开侮辱；轻蔑；公开侮辱
236,afield,在战场上；去野外；在远处；远离著；(Afield)人名；(英)阿菲尔德
237,afloat,在海上的；飘浮的；浸满水的；在传播的；在海上；飘浮著；浸满水
238,afoot,在进行中的；徒步的；准备中；在进行中，在准备中
239,afraid,害怕的；恐怕；担心的
240,afresh,重新；再度
241,Africa,非洲
242,African,非洲的，非洲人的；非洲人
243,after,后来，以后；在……之后；以后的
244,aftermath,后果；余波
245,afternoon,午后，下午
246,afterward,以后，后来
247,again,又，此外；再一次；再说；增加；（英、保）阿盖恩
248,against,反对，违反；靠；倚；防备；不利的；对立的
249,age,年龄；时代；寿命，使用年限；阶段；成熟；变老
250,aged,年老的；…岁的；老年人特有的；老化（age的过去式）；成熟；变老
251,agency,代理，中介；代理处，经销处
252,agenda,议程；日常工作事项；日程表
253,agent,代理人，代理商；药剂；特工；由…作中介；由…代理；代理的
254,aggravate,加重；使恶化；激怒
255,aggregate,集合；聚集；合计；合计；集合体；总计；聚合的；集合的；合计的
256,aggression,侵略；进攻；侵犯；侵害
257,aggressive,侵略性的；好斗的；有进取心的；有闯劲的
258,aggressor,侵略者；侵略国；挑衅者
259,aggrieved,受委屈的，愤愤不平的；权利受到不法侵害的；侵害，伤害（aggrieve的过去分词形式）；使悲痛
260,agile,敏捷的；机敏的；活泼的
261,agitate,摇动；骚动；使…激动
262,agitation,激动；搅动；煽动；烦乱
263,agnostic,不可知论者；不可知论的
264,ago,以前，以往；以前的；过去的；(Ago)人名；(英、西、意、塞、瑞典)阿戈
265,agonizing,苦恼的；痛苦难忍的；使极度痛苦；折磨（agonize的ing形式）；感到极度痛苦（agonize的ing形式）
266,agony,苦恼；极大的痛苦；临死的挣扎
267,agree,同意，赞成；承认；约定，商定
268,agreeable,令人愉快的；适合的；和蔼可亲的
269,agreement,协议；同意，一致
270,agricultural,农业的；农艺的
271,agriculture,农业；农耕；农业生产；农艺，农学
272,aground,搁浅地；地面上；搁浅的；地面上的
273,ah,啊；呀；(Ah)人名；(中)亚(广东话·威妥玛)；(缅)阿
274,ahead,向前；在前的；领先；向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来
275,aid,援助；帮助；助手；帮助者；援助；帮助；有助于
276,aids,艾滋病（Acquired Immune Deficiency Syndrome）；获得性免疫缺乏综合症
277,ailing,生病的，身体不舒服的；体衰的；生病；苦恼（ail的ing形式）
278,ailment,小病；不安
279,aim,目的在于；引导；把…对准；目的；目标；对准
280,aimless,没有目标的；无目的的
281,air,空气，大气；天空；样子；曲调；使通风，晾干；夸耀
282,airbase,空军基地；航空基地
283,airborne,[航] 空运的；空气传播的；风媒的
284,aircraft,飞机，航空器
285,airfield,飞机场
286,airforce,空军
287,airhostess,客机女服务员，空姐
288,airily,轻盈地，快活地
289,airlift,空运；空运物资；空运
290,airline,航空公司；航线；航线的
291,airliner,班机；大型客机
292,airmail,航空邮件
293,airport,机场；航空站
294,airstrip,飞机跑道
295,airtight,密闭的，密封的；无懈可击的
296,airway,导气管；空中航线；通风孔
297,airy,空气的；通风的；幻想的；轻快的；空中的；(Airy)人名；(英)艾里
298,aisle,通道，走道；侧廊
299,ajar,半开的；微开的；不和谐的；半开地；微开地；不协调地
300,alarm,闹钟；警报，警告器；惊慌；警告；使惊恐
301,alas,唉（表悲伤、遗憾、恐惧、关切等等）；(Alas)人名；(西、葡、捷、土)阿拉斯
302,album,相簿；唱片集；集邮簿；签名纪念册
303,alchemy,点金术；魔力
304,alcohol,酒精，乙醇
305,alcoholic,酒精的，含酒精的；酒鬼，酗酒者
306,alcoholism,酗酒；[内科] 酒精中毒
307,ale,麦芽酒
308,alert,警告；使警觉，使意识到；警惕的，警觉的；留心的；警戒，警惕；警报
309,alga,水藻
310,algebra,代数学
311,alias,别名，化名；别名叫；化名为
312,alibi,不在场证明或辩解；托辞；辩解；找托辞开脱
313,alien,外国的；相异的，性质不同的；不相容的；外国人，外侨；外星人；让渡，转让
314,alienate,使疏远，离间；让与
315,alight,下来；飞落；烧着的；点亮着的
316,align,使结盟；使成一行；匹配
317,alike,相似的；相同的；以同样的方式；类似于
318,alimony,[法] 赡养费；生活费
319,alive,活着的；活泼的；有生气的
320,alkali,碱；可溶性无机盐；碱性的
321,all,全部的；全然地；越发；全部
322,Allah,阿拉；真主
323,allay,减轻；使缓和；使平静
324,allege,宣称，断言；提出…作为理由
325,allegedly,依其申述；据说，据称
326,allegiance,效忠，忠诚；忠贞
327,allegory,寓言
328,allergic,对…过敏的；对…极讨厌的
329,allergy,过敏症；反感；厌恶
330,alleviate,减轻，缓和
331,alliance,联盟，联合；联姻
332,alligator,短吻鳄（产于美国及中国）；短吻鳄皮革；鳄口式工具；皱裂；裂开；鳄鱼般的；鳄鱼皮革的；鳄鱼皮纹的
333,allocate,分配；拨出；使坐落于
334,allocation,分配，配置；安置
335,allot,分配；拨给；分派；(Allot)人名；(英)阿洛特；(西)阿略特；(法)阿洛
336,allow,允许；给予；认可
337,allowance,津贴，零用钱；允许；限额；定量供应
338,alloy,使成合金；使减低成色；合金
339,allude,暗指，转弯抹角地说到；略为提及，顺便提到
340,allusion,暗示；提及
341,ally,同盟国；伙伴；同盟者；助手；使联盟；使联合
342,almanac,年鉴；历书；年历
343,almighty,全能的；有无限权力的；非常；全能的神
344,almond,扁桃仁；扁桃树
345,almost,差不多，几乎
346,alms,捐献；救济物，施舍金
347,alone,独自的；单独的；孤独的；独自地；单独地
348,along,一起；向前；来到；沿着；顺着
349,alongside,在旁边；在……旁边
350,aloof,冷淡的；远离的；冷漠的；远离；避开地
351,aloud,大声地；出声地
352,alphabet,字母表，字母系统；入门，初步
353,alphabetic,字母的；照字母次序的
354,already,已经，早已；先前
355,also,也；而且；同样；并且；另外；(Also)人名；(罗)阿尔索
356,altar,祭坛；圣坛；圣餐台
357,alter,改变，更改；(Alter)人名；(英)奥尔特；(德、捷、葡、爱沙、立陶、拉脱、俄、西、罗、瑞典)阿尔特
358,alteration,修改，改变；变更
359,alternate,交替；轮流；交替的；轮流的；替换物
360,alternative,供选择的；选择性的；交替的；二中择一；供替代的选择
361,although,尽管；虽然；但是；然而
362,altitude,高地；高度；[数] 顶垂线；（等级和地位等的）高级；海拔
363,altogether,完全地；总共；总而言之；整个；裸体
364,aluminium,铝的；铝
365,alumnus,男校友；男毕业生
366,always,永远，一直；总是；常常
367,am,调频，调谐，调幅（ amplitude modulation）；（用于第一人称单数现在时）；（与v-ing连用构成现在进行时，与v-ed连用构成被动语态）；（柬）安（人名）
368,amalgamate,合并；汞齐化；调制汞合金
369,amass,积聚，积累
370,amateur,爱好者；业余爱好者；外行；业余的；外行的
371,amaze,使吃惊
372,amazing,令人惊异的；使吃惊（amaze的ing形式）
373,ambassador,大使；代表；使节
374,amber,琥珀色的；琥珀制的；琥珀；琥珀色；使呈琥珀色
375,ambience,气氛，布景；周围环境
376,ambiguity,含糊；不明确；暧昧；模棱两可的话
377,ambiguous,模糊不清的；引起歧义的
378,ambition,野心，雄心；抱负，志向；追求；有…野心
379,ambitious,野心勃勃的；有雄心的；热望的；炫耀的
380,ambivalent,矛盾的；好恶相克的
381,ambulance,[车辆][医] 救护车；战时流动医院
382,ambush,埋伏，伏击；伏兵；埋伏，伏击
383,amenable,有责任的：顺从的，服从的；有义务的；经得起检验的
384,amend,修改；改善，改进；(Amend)人名；(德、英)阿门德
385,amendment,修正案；改善；改正
386,amenity,舒适；礼仪；愉快；便利设施
387,America,美洲（包括北美和南美洲）；美国
388,American,美国人，美洲人；美国英语；美国的，美洲的；地道美国式的
389,amiable,和蔼可亲的，亲切的；(Amiable)人名；(法)阿米亚布勒；(英)阿米娅布尔
390,amicable,友好的；友善的
391,amid,在其中，在其间；(Amid)人名；(法、阿拉伯)阿米德
392,amidst,在…当中
393,amiss,有毛病的，有缺陷的；出差错的；错误地；(Amiss)人名；(英)埃米斯
394,ammeter,[电] 安培计；[电] 电流计
395,ammonia,[无化] 氨，阿摩尼亚
396,ammunition,弹药；军火；装弹药于；装弹药
397,amnesia,健忘症，[内科] 记忆缺失
398,amnesty,大赦，特赦；对…实行大赦
399,among,在…中间；在…之中
400,amongst,在…之中；在…当中（等于among）
401,amoral,与道德无关的；无从区分是非的；超道德的
402,amount,总计，合计；相当于；共计；产生…结果；数量；总额，总数
403,amphibian,[脊椎] 两栖动物；水陆两用飞机；具有双重性格的人；两栖类的；[车辆] 水陆两用的；具有双重性格的
404,amphibious,[生物] 两栖的，水陆两用的；具有双重性的
405,ample,丰富的；足够的；宽敞的；(Ample)人名；(西)安普尔
406,amplifier,[电子] 放大器，扩大器；扩音器
407,amplify,放大，扩大；增强；详述
408,amuse,娱乐；消遣；使发笑；使愉快
409,amusement,消遣，娱乐；乐趣
410,an,一（在元音音素前）
411,anaemia,贫血（症）；无活力；脸色苍白
412,anaesthesia,麻醉；麻木；感觉缺失（等于anesthesia）
413,anaesthetic,麻醉的；麻醉剂；麻药
414,anaesthetize,使麻醉；使麻木
415,anagram,相同字母异序词，易位构词，变位词
416,anal,[解剖] 肛门的，直肠的；肛门附近的；(Anal)人名；(土)阿纳尔
417,analogue,类似物；类似情况；对等的人；类似的；相似物的；模拟计算机的
418,analogy,类比；类推；类似
419,analyse,分析；分解；细察
420,analysis,分析；分解；验定
421,analytical,分析的；解析的；善于分析的
422,anarchic,无政府的；无政府主义的；无法无天的
423,anarchist,无政府主义者
424,anarchy,无政府状态；混乱；无秩序
425,anatomy,解剖；解剖学；剖析；骨骼
426,ancestor,始祖，祖先；被继承人
427,ancestral,祖先的；祖传的
428,ancestry,祖先；血统
429,anchor,锚；抛锚停泊；靠山；新闻节目主播；抛锚；使固定；主持节目；末棒的；最后一棒的
430,anchorage,锚地；下锚；停泊税
431,anchorman,末棒运动员；新闻节目主持人
432,anchorwoman,广播新闻的女主持人
433,ancient,古代的；古老的，过时的；年老的；古代人；老人
434,and,和，与；就；而且；但是；然后；(And)人名；(土、瑞典)安德
435,anecdote,轶事；奇闻；秘史
436,anew,重新；再
437,angel,天使；守护神；善人；出钱支持
438,anger,怒，愤怒；忿怒；使发怒，激怒；恼火
439,angle,钓鱼；谋取；角度，角，方面
440,angrily,愤怒地
441,angry,生气的；愤怒的；狂暴的；（伤口等）发炎的
442,anguish,痛苦；苦恼；使极度痛苦
443,angular,[生物] 有角的；生硬的，笨拙的；瘦削的
444,animal,动物
445,animate,使有生气；使活泼；鼓舞；推动；有生命的
446,animation,活泼，生气；激励；卡通片绘制
447,animosity,憎恶，仇恨，敌意
448,ankle,踝关节，踝
449,annals,年报；编年史；年鉴
450,annex,附加；获得；并吞；附加物；附属建筑物
451,annihilate,歼灭；战胜；废止
452,anniversary,周年纪念日
453,announce,宣布；述说；预示；播报
454,announcement,公告；宣告；发表；通告
455,announcer,[广播] 广播员；宣告者
456,annoy,骚扰；惹恼；打搅；烦恼（等于annoyance）
457,annoyance,烦恼；可厌之事；打扰
458,annual,年度的；每年的；年刊，年鉴；一年生植物
459,annuity,年金，养老金；年金保险；年金享受权
460,annul,取消；废除；宣告无效
461,anode,阳极（电解）
462,anomaly,异常；不规则；反常事物
463,anonymity,匿名；匿名者；无名之辈
464,anonymous,匿名的，无名的；无个性特征的
465,another,又一，另一；另外的；不同的；另一个；又一个；另一个；另一个人
466,answer,回答；符合；回答；答案；答辩
467,ant,蚂蚁
468,antagonism,对抗，敌对；对立；敌意
469,antagonist,敌手；[解剖] 对抗肌；[生化] 拮抗物；反协同试剂
470,antagonize,使…敌对；使…对抗；对…起反作用
471,antecedent,前情；先行词；祖先；先行的；前驱的；先前的
472,antelope,羚羊；羚羊皮革
473,antenna,[电讯] 天线；[动] 触角，[昆] 触须
474,anthem,赞美诗；圣歌；唱圣歌庆祝；唱赞歌
475,anthology,（诗、文、曲、画等的）选集
476,anthropology,人类学
477,antibiotic,抗生的；抗菌的；抗生素，抗菌素
478,antibody,[免疫] 抗体
479,antic,古怪的；滑稽可笑的；滑稽动作；丑角；扮小丑；做滑稽动作
480,anticipate,预期，期望；占先，抢先；提前使用
481,anticipation,希望；预感；先发制人；预支
482,antidote,[药] 解毒剂；解药；矫正方法
483,antilogarithm,逆对数；[数] 反对数；真数
484,antipathy,反感；厌恶；憎恶；不相容
485,antique,古老的，年代久远的；过时的，古董的；古风的，古式的；古董，古玩；古风，古希腊和古罗马艺术风格；觅购古玩
486,antiquity,高龄；古物；古代的遗物
487,antiseptic,防腐的，抗菌的；非常整洁的；防腐剂，抗菌剂
488,antler,鹿角，茸角；多叉鹿角
489,antonym,[语] 反义词
490,anus,[解剖] 肛门
491,anxiety,焦虑；渴望；挂念；令人焦虑的事
492,anxious,焦虑的；担忧的；渴望的；急切的
493,anxiously,不安地，忧虑地
494,any,任何的；所有的；丝毫；任何；任何一个；若干；稍微；少许；(Any)人名；(法、罗)阿尼
495,anyhow,总之；无论如何；不管怎样
496,anymore,再也不，不再
497,anyone,任何人；任何一个
498,anything,任何事
499,anytime,任何时候；无例外地
500,anyway,无论如何，不管怎样；总之
501,anywhere,在任何地方；无论何处；任何地方
502,apace,飞快地，迅速地；急速地
503,apart,相距；与众不同地；分离着；分离的；与众不同的
504,apartheid,种族隔离
505,apartment,公寓；房间
506,apathy,冷漠，无兴趣，漠不关心；无感情
507,ape,[脊椎] 猿；傻瓜；模仿者；模仿；抢台词；狂热的
508,aperture,孔，穴；（照相机，望远镜等的）光圈，孔径；缝隙
509,apex,顶点；尖端
510,apiece,每人；每个；各自地
511,apologetic,道歉的；赔罪的
512,apologize,道歉；辩解；赔不是
513,apology,道歉；谢罪；辩护；勉强的替代物
514,apoplexy,[医] 中风
515,apostrophe,省略符号，撇号；呼语，顿呼
516,appalling,可怕的；令人震惊的；使惊愕；惊吓（appal的ing形式）
517,apparatus,装置，设备；仪器；器官
518,apparel,服装；衣服；给…穿衣
519,apparent,显然的；表面上的
520,apparently,显然地；似乎，表面上
521,appeal,呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判；呼吁，请求；吸引力，感染力；上诉；诉诸裁判
522,appealing,吸引人的；动人的；引起兴趣的；恳求似的；恳求（appeal的ing形式）；将…上诉
523,appear,出现；显得；似乎；出庭；登场
524,appearance,外貌，外观；出现，露面
525,appease,使平息；使满足；使和缓；对…让步
526,append,附加；贴上；盖章；设置数据文件的搜索路径
527,appendicitis,[医] 阑尾炎；盲肠炎
528,appendix,附录；阑尾；附加物
529,appetite,食欲；嗜好
530,applaud,赞同；称赞；向…喝彩
531,applause,欢呼，喝采；鼓掌欢迎
532,apple,苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。
533,appliance,器具；器械；装置
534,applicable,可适用的；可应用的；合适的
535,applicant,申请人，申请者；请求者
536,application,应用；申请；应用程序；敷用
537,apply,申请；涂，敷；应用
538,appoint,任命；指定；约定
539,appointee,被任命者
540,appointment,任命；约定；任命的职位
541,apposite,适当的；贴切的
542,appraisal,评价；估价（尤指估价财产，以便征税）；估计
543,appraise,评价，鉴定；估价
544,appreciable,可感知的；可评估的；相当可观的
545,appreciate,欣赏；感激；领会；鉴别
546,appreciation,欣赏，鉴别；增值；感谢
547,appreciative,感激的；赏识的；有欣赏力的；承认有价值的
548,apprehend,理解；逮捕；忧虑
549,apprehension,理解；恐惧；逮捕；忧惧
550,approach,方法；途径；接近；接近；着手处理
551,appropriate,适当的；恰当的；合适的；占用，拨出
552,approval,批准；认可；赞成
553,approve,批准；赞成；为…提供证据
554,approximate,近似；使…接近；粗略估计；[数] 近似的；大概的
555,apricot,杏，杏子；[园艺] 杏树；杏黄色；杏黄色的
556,April,四月
557,apron,围裙；[航] 停机坪；舞台口；着围裙于；围绕
558,apt,恰当的；有…倾向的；灵敏的；(Apt)人名；(法、波、英)阿普特
559,aptitude,天资；自然倾向；适宜
560,aquarium,水族馆；养鱼池；玻璃缸
561,aquatic,水生的；水栖的；在水中或水面进行的；水上运动；水生植物或动物
562,Arabia,阿拉伯半岛（亚洲西南部，等于Arabian Peninsula）
563,Arabian,阿拉伯的；阿拉伯人的；阿拉伯人
564,Arabic,阿拉伯的；阿拉伯人的；阿拉伯语
565,arbiter,[法] 仲裁者；裁决人
566,arbitrary,[数] 任意的；武断的；专制的
567,arbitrate,仲裁；公断
568,arc,弧（度）；弧光（全称electric arc）；弧形物；天穹；圆弧的；反三角函数的；形成电弧；走弧线
569,arcade,拱廊；（内设投角子电子游戏机等的）游乐场；有拱廊的街道；使有拱廊
570,arch,弓形，拱形；拱门；主要的；使…弯成弓形；用拱连接
571,archaeologist,考古学家
572,archaeology,考古学
573,archaic,古代的；陈旧的；古体的；古色古香的
574,archbishop,大主教；总教主
