序号,核心词汇,简要解释
335,excellent,卓越的，杰出的，极好的
336,exception,例外
337,excessive,过度的
338,exchange,交换，交流
339,exclude,排除，不包括
340,expand,扩大
341,exploit,开采
342,explore,探索
343,explosion,爆炸
344,expose,暴露
345,exposure,暴露；揭露
346,expressiveness,表达
347,extension,分机
348,extracurricular,课外的
349,facility,设施
350,faith,信任
351,familiar,熟悉的
352,fantasize,想象，幻想
353,fascinate,强烈地吸引，迷住
354,fascination,魅力；入迷
355,fatal,致命的，攸关的
356,fate,命运
357,fatigue,疲劳，疲乏
358,favorable,赞同的
359,feasible,可行的；可能的；可用的
360,feature,特点
361,feedback,反馈
362,fiction,小说，虚构的文学作品
363,figure,人物；数字
364,financial,财政的，经济的
365,finance,财政；筹集资金
366,fine,罚款
367,fitness,健康
368,flexible,灵活的
369,foothold,立足处（攀登时脚踩的地方）
370,formulate,规定，制定
371,fortunately,幸运地
372,foundation,地基；基础；基金会
373,frighten,使惊恐，使恐慌
374,frontier,边境
375,function,功能，运行
376,fund,基金，储备；；提供资金
377,fuss,大惊小怪
378,gambling,赌博
379,gap,差距;缝隙缺口
380,garage,车库
381,gear,齿轮；使合适
382,gender,性别
383,generalization,一般化
384,generation,一代人，产生
385,generosity,慷慨，大方
386,generous,慷慨的
387,genuine,真正的
388,gift,礼物；天赋
389,gloomy,阴沉的，沮丧的
390,glorious,辉煌的
391,grab,抢先，抢占，抢夺
392,grocery,杂货店
393,groundlessly,无缘无故地，无根据地
394,guarantee,保证，担保
395,guideline,指导原则
396,guilt,有罪，犯罪行为
397,gym,体育馆，健身房
398,handle,控制，处理
399,hardworking,苦干的，不辞辛劳的
400,harm,有害
401,harmful,有害的
402,harmony,和谐
403,harsh,严酷的
404,hazard,危险
405,highlight,照亮；突出；强调
406,hire,雇佣
407,homemaker,主妇
408,honesty,诚实
409,honor,纪念
410,hospitalize,就医
411,household,家庭，一家人
412,humanity,人类，总称人(性)
413,identical,相同的
414,identify,认出，识别；视为
415,identification,鉴定，识别；认同；身份证明
416,identity,身份
417,ignorance,无知，愚昧
418,ignore,忽视，不顾
419,illegal,非法的
420,illustrate,"说明,阐明"
421,image,形象，声誉，印象
422,imaginary,虚构的，想象的
423,immobile,稳定的，不变的
424,impact,影响
425,impermanent,非永久（性）的；不持久的，暂时的
426,impermanency,非永久性
427,implement,实施，执行
428,imply,意味；暗示
429,import,进口
430,impose,强加
431,improper,不合适的，不适当的
432,inadequate,不足的，不够的
433,inappropriate,不合适的
434,include,包含
435,incredible,不可思议的
436,indicate,表明
437,indispensable,必不可少的
438,individual,个人
439,induce,引诱
440,inevitable,不可避免的
441,infinite,无限的
442,inflation,通货膨胀
443,inflate,膨胀
444,influence,影响
445,influential,有影响力的
446,ingredient,成分，原料
447,inherit,继承
448,initiate,开始，发起
449,initiative,主动权，自主权
450,injure,使受伤
451,innocent,无辜的，天真的；
452,innovation,改革，创新
453,insecure,不安全的
454,insight,洞察力，洞悉
455,inspiration,灵感
456,inspire,激发；鼓舞；使产生灵感
457,install,安装
458,installation,安装，就任
459,installment,安装，分期付款
460,instant,立即的；紧急的；速溶的，方便的
461,institute,建立
462,institution,社会公共机构；制度，习俗；设立，制定
463,instruction,命令，指示，用法说明
464,instruct,指导；通知；命令；教授
465,instrument,仪器，器械，工具
466,intake,摄入
467,integrity,完整，综合
468,intelligence,智力，智慧，理解力
469,intelligent,智能的
470,intend,打算
471,interconnect,相互联系
472,interdependence,相互依靠
473,interpret,解释
474,interracial,种族间的
475,intervention,干涉
476,interview,会见；面谈（试）；采访
477,invade,侵入，侵略
478,invalid,无效的
479,invest,投资
480,involve,卷入，包含
481,irrationally,不合理地，无理性地
482,irritate,激怒
483,issue,发行；问题
484,item,条，条款
485,joint,联合的
486,keenly,敏锐地
487,launch,发射
488,laundry,洗衣房；要洗的衣服
489,legal,法律的
490,leisure,悠闲，空闲
491,lengthy,长的，漫长的
492,liability,责任
493,literature,文学，文学作品；文献
494,loan,贷款
495,locate,位于，定位
496,lodge,住宿，暂住
497,logic,逻辑
498,loyalty,忠诚，忠实
499,mainstream,主流
500,maintain,维持，主张
501,major,主要的；主修
502,majority,多数
503,makeup,化装
504,malfunction,失灵，故障
505,manufacture,制造，生产
506,margin,边缘，范围
507,marvelous,引起惊异的
508,masculine,男性的
509,massive,巨大的 大量的
510,matter,要紧，重要
511,maximum,最大值的，最大量的
512,means,方法
513,measure,分量，尺寸，量具，测量；；测量
514,mechanic,机械师
515,mechanism,机制，机能
516,merit,优点，成绩；值得
517,migration,迁移，移民
518,military,军队的，军事的
519,mineral,矿物的，似矿物的
520,miscalculation,算错，误算
521,miserable,痛苦的
522,misguided,被误导的
523,mislead,误导
524,mission,使命，任务；代表团
525,misunderstand,误解
526,monitor,监控，监听
527,motivate,促动，激发，诱导
528,motivation,激励，刺激
529,mutual,相互的
530,narrow,限制
531,needy,贫穷的
532,negative,否定的；消积的
533,negotiate,谈判，协商，交涉
534,neighborhood,地区
535,obstacle,阻碍
536,obtain,获得
537,occupation,职业，工作
538,operation,手术；行动
539,opposite,相反的
540,organ,器官
541,original,原始的，最初的
542,originate,开始
543,outline,梗概，提纲，草稿，要点
544,overcome,战胜，克服
545,overestimate,对（数量）估计过高
546,overflow,溢出，淹没
547,overload,使负担太重
548,overtake,超车
549,overweight,超重的
550,overwhelm,压倒，战胜
551,painful,痛苦的，疼痛的，令人不快的
552,participate,参与，参加
553,particular,特别的，挑剔的
554,passionate,热情的
555,passion,热情，激情
556,passive,被动的
557,patiently,耐心地
558,pattern,模式
559,peaceful,平静的，和平的
560,peer,同龄人
561,perceive,察觉
562,performance,演出，履行，表现
563,permanent,永久的
564,persistence,坚持不懈
565,personality,个性，性格
566,perspective,视角，观点；远景
567,persuade,说服
568,persuasion,劝说
569,physical,身体上的
570,physics,物理，物理学
571,picky,挑剔的
572,pioneer,开拓，开发
573,planet,行星
574,pledge,保证，誓言
575,poison,使中毒
576,poll,民意调查
577,pop,突然出现，跳出
578,porter,搬运工
579,pose,摆姿势，装腔作势；姿势
580,position,职位
581,postgraduate,研究生
582,potential,潜力；有可能的；潜在的
583,praise,赞扬，赞美
584,predict,预言，预测，预告
585,preference,偏爱
586,pregnant,怀孕的
587,prejudice,偏见
588,preservation,保存，保留
589,prevail,流行，盛行
590,prevent,预防
591,preventable,可预防的
592,previous,之前的；先前地
593,previously,事先
594,primarily,主要地，首先
595,primitive,原始的；简单的
596,principle,原则，原理
597,priority,优先，优先权
598,privacy,隐私
599,process,过程，进程；工序；(法律)程序；处理
600,productive,富有成效的
601,profitable,有利可图的，有益的
602,profound,深厚的
603,programming,计划，节目(单)，程序；；编程
604,prohibit,禁止，阻止，防止
605,project,工程，作业
606,prominent,杰出的，突起的，凸出的
607,promising,有希望的，有前途的
608,promote,促进，提升，推销
609,prompt,敏捷的；v. 敦促
610,proportion,比例，部分
611,prospect,前景
612,provoke,激起，挑起
613,psychological,心理上的
614,publicize,宣布
615,punctual,准时的
616,pursue,追求
617,qualification,资格(证明)，合格证书
618,qualify,使……有资格
619,quality,品质
620,quantity,量，数量
621,quit,放弃
622,raise,提高，筹款，抚养
623,range,范围；在范围内变化
624,rank,分等级；衔，阶层
625,rare,罕有的，少见的
626,rational,神智清楚的
627,realistic,现实的，实际的
628,rearrange,重新安排
629,reception,接待
630,recession,衰退
631,recharge,再充电
632,recommend,推荐，劝告，使受欢迎
633,recover,恢复，重新获得
634,recruit,招募，吸收；新兵，新成员
635,reduce,减少
636,refreshing,恢复活力的
637,refuel,（给）加油，加燃料
638,refusal,拒绝
639,regular,有规律的，经常的
640,regularly,定期地，有规律地
641,regulate,管理
642,regulation,管理；规则
643,relative,相对的；亲戚
644,release,发布，释放
645,relevant,有关的，中肯的
646,reliable,可靠的，可信赖的
647,relieve,解除，减轻，缓解
648,reluctant,不愿意的，勉强的
649,remedy,药物
650,remove,消除，移除
651,render,给予
652,renew,更新
653,repave,再铺，重新铺砌
654,replace,代替
655,represent,代表
656,representative,代表
657,reputation,名气，名声，名誉
658,request,要求
659,require,要求，命令
660,rescue,营救，援救
661,reservation,预定
662,resident,居民
663,resign,辞职
664,resist,抵抗，抗拒
665,resolve,解决，下决心
666,respectful,有礼貌的，尊重的
667,responsibility,责任
668,responsible,负责的，有责任的
669,restock,重新进货，再储存
670,restore,修复
671,restrict,限制，限定
672,restriction,限制，限定
673,retail,零售
674,reveal,揭露，揭示
675,revenge,报仇
676,revenue,收入
677,reverse,（使）反转
678,revise,修订
679,revolution,革命
680,reward,报答，奖赏
681,riotous,狂暴的
682,rocket,火箭；猛增
683,routinely,例行公事地
684,saint,圣人
685,save,节省
686,schedule,日程表
687,scholarship,奖学金
688,scope,范围
689,scratch,抓，划痕
690,screen,筛查
691,secure,确保……安全
692,seldom,很少，罕见
693,selection,选择，挑选
694,selective,"选择的,精选的"
695,selfish,自私的
696,sensitive,敏感的
697,separately,分别地，另行
698,session,开会，会议
699,severe,严重的
700,shock,感到震惊
701,shortcut,捷径，近路
702,showmanship,主技演出的技巧
703,sightseeing,观光
704,signal,信号，发信号
705,significant,重要的
706,similar,相似的
707,simplicity,简单
708,site,场所，地址
709,situation,情况
710,skyrocket,突升，猛涨
711,slave,奴隶
712,socialize,交往，联谊
713,solution,解决，解答，解决办法
714,spare,空闲的
715,specialize,专业从事
716,specific,特定的，具体的
717,specify,指定，具体说明
718,sponsor,赞助
719,spontaneous,自发的
720,spread,传播，扩撒
721,standardize,使标准化
722,startle,吃惊
723,steady,稳定的，逐步的
724,steal,偷窃
725,steer,驾驶
726,stereotype,老套，固定模式
727,stimulate,刺激
728,stock,库存，股票
729,strategy,策略，战略
730,stressful,充满著压力的，充满著紧张的
731,stress,"压力,重音"
732,strict,严格的
733,structure,结构
734,struggle,搏斗
735,subsidize,提供补贴
736,substantial,大量的
737,suffer,受痛苦
738,sufficient,足够的
739,superior,上级的，较高的；上级，长官
740,supervision,监督
741,suppose,料想，以为；假定；期望
742,surf,冲浪
743,survey,调查，审视，仔细考虑；勘测，测量，测绘，调查
744,suspect,怀疑，猜想；嫌疑犯
745,sustain,维持
746,sustainable,可持续的
747,swift,迅速的
748,switch,转变，改变
749,symbol,象征，标志
750,sympathy,同情心
751,tackle,处理
752,tailor,调整使适应
753,takeoff,起飞
754,tank,油箱，水箱
755,tasteless,无味的
756,technical,技术的
757,technique,技术，技能；技巧，手艺
758,technician,技术员，技师
759,tedious,单调沉闷的
760,temptation,诱惑，引诱
761,tension,紧张
762,tent,帐篷
763,terribly,可怕地，非常
764,therapy,疗法 治疗
765,threaten,威胁
766,tide,顺应潮水航行
767,tighten,紧的，紧缩的
768,tiny,微小的
769,tolerance,宽容，容忍
770,toothache,牙痛，牙疼
771,track,"跟踪,足迹"
772,trait,性格
773,transaction,交易，业务，事务
774,transfer,转换，调换
775,transportation,运输
776,treatment,治疗，对待
777,tremble,颤抖
778,triumph,胜利
779,tuition,学费
780,tumor,瘤
781,ultimately,最后，最终
782,unaffordable,买不起的，负担不起的
783,uncertain,不确定的
784,undermine,暗中破坏
785,unique,独特的，唯一的
786,universal,普遍的，宇宙的，全世界的
787,upbringing,养育，培养，教养
788,update,更新，使现代化
789,valid,有效的
790,value,重视
791,vanish,消失
792,variety,多样
793,vehicle,车辆
794,version,版本
795,view,看待
796,violate,违反
797,virtually,几乎，差不多
798,virus,病毒
799,visibility,能见度
800,visible,看得见的
801,vital,重要的
802,vocabulary,词汇
803,vote,投票，选举
804,wise,聪明的，有智慧的
805,witness,目击者，目击
806,worsen,（使）变得更坏
807,worthwhile,有价值的
808,yield,屈服，产出；产量
809,comprehensive,综合的，全面的
810,synthetic,合成的，人造的
811,undergo,承受
812,fair,集市
813,bakery,面包店
814,lap,膝盖
815,sideways,向侧面
816,swallow,咽下，吞下
817,durability,持久
818,symbolize,象征
819,everlasting,永恒的
820,wedding,婚礼
821,excess,过量，过度
822,instance,情况，例子
823,slightly,轻微地
824,undertake,承担
825,frown,皱眉
826,overcharge,向……多收费
827,grid,输电网
828,vary,变化；不同
829,evolutionary,演变的，进化的
830,psychologist,心理学家
831,substitute,代替
832,dictate,命令，规定
833,subdivision,分区
834,utility,使用，公共设施
835,prohibitively,过分地，非常地
836,sway,影响
837,reproductive,生殖的，再生的
838,exhaust,使筋疲力尽
839,domestic,国内的
840,fetch,取回
841,retrain,再教育；再训练
842,biological,生物的
843,perception,感知
844,consume,消费，消耗
845,solely,单独地，唯一地
846,characteristic,特点
847,complex,复杂的
848,response,反应
849,rate,比率，速率
850,solid,扎实的，坚实的
851,prepare,做准备
852,unwilling,不愿意的
853,mature,成熟的
854,deadline,最后期限
855,retirement,退休
856,appealing,吸引人的
857,barely,仅仅，几乎不
858,unbearable,无法忍受的
859,grave,坟墓
860,implication,含义，暗示
861,menu,菜单
862,standpoint,立场
863,justice,公正
864,expectation,期望
865,professional,专业的
866,radically,完全地，彻底地
867,voluntary,自愿的，主动的
868,independently,独立地
869,favor,"偏好, 赞同"
870,puzzling,令人困惑的
871,tremendous,巨大的
872,strain,扭伤，拉伤
873,exhibition,展览
874,gallery,美术馆
875,evaluate,评价
876,dust,灰尘
877,accompany,陪伴
878,submit,提交
879,awful,可怕的，骇人的
880,chat,聊天
881,underline,强调
882,survival,幸存
883,dishonest,不诚实的
884,neglect,忽视
885,treasure,珍爱
886,rigorous,严格的
887,counseling,咨询服务
888,competent,胜任的，有能力的
889,divine,神圣的
890,assess,评价
891,reassess,重新评估
892,rude,粗鲁的
893,tough,困难的
894,justify,证明……正当
895,persistent,持续的，坚持的
896,surpass,超过
897,dilemma,困境
898,generate,产生
899,primary,主要的，基本的
900,vitally,极其重要地
901,confuse,使混淆，迷惑
902,reframe,重新装裱
903,inquiry,询问
904,intention,打算，意图
905,engine,引擎，发动机
906,occasion,场合
907,extensively,广泛地
908,column,专栏
909,melt,融化
910,sensible,明智的
911,essential,本质的，必须的
912,solve,解决
913,seize,抓住
914,alternative,代替品
915,prosperity,繁荣
916,conservation,保护，保存
917,slippery,模糊的，不明确的，滑的
918,destruction,破坏
919,preserve,保护
920,abstract,抽象的
921,mystery,迷，神秘的事物
922,refine,改善，精炼
923,quotation,引文
924,react,对……作出反应
925,replacement,代替
926,consequently,结果
927,soar,猛增
928,incline,倾向于
929,minor,小的
930,grief,悲伤
931,facilitate,使便利，促进
932,simplify,简化
933,procedure,程序
934,disservice,伤害，帮倒忙
935,phenomenon,现象
936,endanger,危及，危害，濒临危险
937,overwhelming,压倒性的
938,observe,遵守
939,entertainment,娱乐
940,optimistic,乐观的
941,adversity,逆境，不幸
942,misguide,误导
943,energetic,精力充沛的
944,unintended,意想不到的
945,setting,背景，环境
946,tempting,诱人的，吸引人的
947,interruption,打扰，中断
948,prescription,处方
949,paradox,悖论，自相矛盾
950,namely,即，也就是
951,undoubtedly,无疑
952,distinctive,独特的，与众不同的
953,retreat,退避，后退
954,entitle,使具有权利，使具有资格
955,fussy,大惊小怪的，小题大做的
956,dishwasher,洗碗机
957,forum,论坛
958,inadequacy,不足
959,lobby,大堂；游说
960,agent,代理商
961,convince,使相信
962,flexibility,灵活性；适应性
963,plastic,塑料的
964,frame,框架
965,groundsheet,防潮布
966,geographic,地理的
967,diplomatic,外交的
968,judgement,判断，决定
969,private,私人的
970,cozy,舒适的
971,mill,工厂
972,enable,使能够……
973,laborious,费力的
974,delight,高兴
975,scale,规模，比例
976,amusing,有趣的，好玩儿的
977,panic,恐慌的
978,consciousness,意识
979,statistics,统计学；数据
980,bride,新娘
981,absent,缺席的
982,annoy,使反感，厌烦
983,insist,主张，坚持
984,forefinger,食指
985,bow,鞠躬
986,gesture,手势，姿势
987,harvest,丰收，收获
988,sticky,粘的
989,resistance,"抵制, 抵抗力"
990,bacteria,细菌
991,particle,微粒
992,gum,牙龈
993,resemble,像，相似
994,trace,痕迹
995,discrimination,歧视
996,pointless,无意义的
997,rental,租
998,indifferent,冷漠的
999,reflect,反映
1000,liberation,解放
1001,option,选择
1002,initially,最初，起初
1003,attribute,归因于
1004,accelerate,加速
1005,sphere,"球体, 范围"
1006,widespread,普遍的，广泛的
1007,transform,改变
1008,immeasurable,无法估量的
1009,contaminate,污染，弄脏
1010,territory,领土，领域
1011,virtual,虚拟的
1012,invariably,不变地，一直
1013,long,渴望
1014,welfare,福利
1015,lessen,减少
1016,unrest,不安定，动荡
1017,authoritative,权威的
1018,neutral,中立的
1019,racially,种族上地
1020,disappointing,令人失望的
1021,plant,工厂
1022,inspector,检查员
1023,headquarter,设立总部，在…设立总部
1024,worldwide,全世界范围地
1025,council,议会
1026,clue,线索
1027,cheat,"欺骗, 作弊"
1028,insult,侮辱
1029,distress,使痛苦，悲痛
1030,discourage,"使气馁, 阻碍"
1031,prosper,繁荣
1032,retain,"保留,留用"
1033,contest,比赛
1034,proposal,提议
1035,combination,联合，结合
1036,promotional,促销的
1037,smooth,光滑的
1038,intense,强烈的
1039,irregular,不规律的
1040,incidence,几率，发生率
1041,shade,阴凉处
1042,pension,养老金
1043,deepen,使加深，加剧
1044,complement,补充
1045,squeeze,压，榨
1046,civilization,文明
1047,extraordinary,非凡的
1048,poisonous,有毒的，有害的
1049,recycle,循环，再利用
1050,inquire,询问
1051,mask,掩饰
1052,symptom,症状
1053,plague,使困扰
1054,twist,扭曲，使弯曲
1055,terminal,终点站，航空站
1056,passively,消极地
1057,outcome,结果
1058,signature,签名
1059,task,任务，工作
1060,convincing,令人信服的
1061,downsize,裁员
1062,foreseeable,可以预见的
1063,status,地位
1064,preferentially,优先地
1065,source,来源
1066,riot,暴乱
1067,grain,谷物，粮食
1068,retailer,零售商
1069,amaze,使吃惊
1070,origin,起源
1071,commencement,毕业典礼
1072,innovate,创新，革新
1073,hit,"成功, 打击"
1074,crucial,至关重要的
1075,breakthrough,突破
1076,exile,流放，放逐
1077,element,元素，要素
1078,interpretation,阐释，说明
1079,accustom,使习惯
1080,superficial,肤浅的
1081,respectively,各自地
1082,fundamentally,根本上
1083,cruelty,残暴，残酷
1084,govern,管理，支配
1085,hinder,阻碍
1086,undervalue,低估
1087,evaluation,评价，评估
1088,define,下定义，确定
1089,backslide,倒退，退步
1090,offense,过错，犯罪
1091,convict,证明…有罪
1092,marginalize,边缘化，排斥
1093,desert,抛弃
1094,sentence,判决
1095,reserve,留出，预定
1096,penalty,惩罚
1097,logically,合乎情理地，符合逻辑地
1098,abundant,大量的，丰富的
1099,overstate,夸张，夸大
1100,snack,零食，小吃
1101,via,通过
1102,fade,逐渐消失
1103,resistant,抵抗的，抵制的
1104,theory,理论
1105,protest,抗议
1106,reject,拒绝，驳回
1107,flaw,缺点，错误
1108,seemingly,表面上看
1109,objection,反对
1110,fancy,华丽的，别致的
1111,hub,中心
1112,incomparable,无比的，无可匹敌的
1113,incentive,动机，刺激
1114,startup,启动，开办
1115,reproduce,"复制, 再生"
1116,distinct,明显的；有区别的
1117,stake,风险
1118,moral,"精神上的, 道德的"
1119,opponent,对手
1120,explicitly,直接地，明确地
1121,rival,对手
1122,confrontation,冲突，对抗
1123,stale,乏味的，没有新意的
1124,reinforce,加强，强化
1125,ring,拳击台
1126,attendance,出席，到场
1127,flow,流动
1128,mood,心情
1129,mutually,互相地
1130,review,回顾；复习
1131,elegant,优雅的
1132,hospitable,热情友好的
1133,constitute,组成
1134,programmer,程序设计员
1135,sophisticated,复杂的；世故的
1136,ignorant,无知的
1137,imitate,模仿
1138,trigger,引发，引起
1139,code,代码，密码
1140,investigate,调查
1141,outgoing,开朗的；外出的
1142,evolution,演变，进化
1143,resourceful,机智的；资源丰富的
1144,myth,神话
1145,legend,传奇
1146,philosopher,哲学家
1147,concrete,具体的
1148,emerge,出现
1149,stir,搅动；煽动，激起
1150,senior,老年人
1151,nutritious,营养的
