序号,核心词汇,简要解释
925,amend,修订
926,interpret,解释；口译
927,access,取得，获取
928,champion,支持，拥护
929,navigate,航行，驾驶
930,intertwine,交织，纠缠
931,collaborate,合作
932,evaluate,评价
933,domain,领域
934,accumulate,积累
935,persistent,坚持不懈的，持续的
936,boast,自夸
937,assume,假定，认为
938,forthcoming,即将来临的
939,mysteriously,神秘地
940,spoil,溺爱
941,complement,补充
942,immersive,沉浸的，身临其境的
943,cognitive,认知的
944,rhetorical,修辞的
945,impair,损害
946,competent,能胜任的，有能力的
947,undermine,暗中削弱
948,incompatibility,不兼容
949,superficial,表面的
950,endanger,使……危险
951,practice,做法
952,decode,解码
953,immigration,移民
954,inescapable,不可避免的
955,utterly,完全地，彻底地
956,inanimate,无生命的
957,irreversible,不可逆的；不可取消的
958,incalculable,不可估量的，无法计算的
959,bump,颠簸
960,demonstration,展示；游行
961,desert,放弃，抛弃
962,jail,监狱
963,cozy,舒适的
964,lounge,休息室
965,worship,崇拜，喜爱
966,seasick,晕船的
967,interfere,干涉，妨碍
968,tension,紧张
969,transition,过渡
970,accidentally,偶然地，意外地
971,exertion,运用
972,impart,传授，教授
973,provoke,激怒
974,assumption,假设
975,formula,公式
976,overlap,重叠
977,thrive,繁荣，兴旺
978,chronic,长期的；慢性的
979,adversity,逆境
980,endure,忍受
981,assert,主张，断言
982,chew,咀嚼；深思
983,tradeoff,权衡，交易
984,commentator,评论员
985,vice,恶意，恶习
986,attribute,归因于
987,vivid,生动的
988,upgrade,升级
989,prospective,未来的，预期的
990,regime,制度，管理体制
991,appeal,"请求，呼吁, 上诉"
992,weave,织布，编织
993,sew,缝上，缝纫
994,nap,小睡
995,row,划船
996,helicopter,直升飞机
997,conquer,征服
998,memorandum,备忘录
999,clarity,清晰，清楚
1000,carpenter,木匠
1001,drummer,鼓手
1002,discrimination,歧视
1003,uninformed,无知的，未受过教育的
1004,entitle,使具有资格
1005,imitate,模仿
1006,subordinate,次要的，从属的
1007,suppress,镇压，压制
1008,throne,王位
1009,athletics,体育运动
1010,coach,教练
1011,biodiversity,生物多样性
1012,accommodate,适应，容纳
1013,ultimate,最终的
1014,invasive,入侵的
1015,underscore,强调
1016,ongoing,持续的，不间断的
1017,greedy,贪婪的
1018,lessen,减少
1019,incur,引起，导致
1020,integral,完整的
1021,merge,合并
1022,unintentionally,无意地
1023,grave,严重的
1024,intimate,亲密的
1025,alleviate,减轻，缓解
1026,conspicuous,显著的
1027,territory,领域，领土
1028,displace,取代
1029,regardless,不管，不顾
1030,duplication,复制品
1031,overturn,推翻
1032,identical,相同的
1033,miniature,微型的
1034,tempting,吸引人的
1035,segregation,隔离
1036,variance,不同
1037,inaction,不作为
1038,conserve,保留，保护
1039,renewable,可再生的
1040,embrace,采纳，接受
1041,counterpart,对等物
1042,rival,对手
1043,intense,激烈的，强烈的
1044,aspirational,渴望的
1045,transform,转变
1046,grip,抓住
1047,unfold,展开
1048,ideological,意识形态的
1049,filter,过滤
1050,pronoun,代词
1051,philosophy,哲学
1052,illuminate,阐释，阐明
1053,odds,可能性
1054,confess,承认
1055,manipulate,操纵
1056,rhythm,节奏
1057,hijack,劫持
1058,sweep,扫除，清除
1059,withdraw,撤销，撤退
1060,flame,火焰
1061,spark,火花
1062,feasibility,可行
1063,fascinate,使着迷
1064,crew,机组人员
1065,cumulative,积累的
1066,awkward,尴尬的，棘手的，笨拙的
1067,obscurity,默默无闻
1068,badge,"标记, 徽章"
1069,distinction,区分
1070,formulate,制定，规划
1071,monetary,货币的
1072,portray,描述
1073,hostility,敌意
1074,robust,强健的
1075,appropriation,挪用
1076,deforestation,砍伐森林
1077,puzzle,迷惑
1078,migration,迁徙，移居
1079,constrain,限制
1080,sneak,溜走
1081,margin,利润
1082,division,分歧
1083,privilege,特权
1084,imperial,帝国的
1085,justice,公平
1086,opponent,反对者
1087,crush,压碎，压榨
1088,harness,管理，控制
1089,monopolize,垄断
1090,tremendous,巨大的
1091,vital,重要的
1092,imperative,"必须的,必要的"
1093,initial,初步的，最初的
1094,distract,分心，分散注意
1095,convincing,令人信服的
1096,consult,咨询
1097,agony,痛苦
1098,refrain,抑制，避免
1099,thrilling,令人兴奋的
1100,prematurely,早熟地，过早地
1101,conscientious,有良心的，认真负责的
1102,entail,使需要，使必须
1103,forge,铸造；伪造
1104,overstate,夸张
1105,accountable,应负责的，有责任的
1106,pessimistic,悲观的
1107,subsequently,随后
1108,hack,黑客攻击
1109,liability,责任；债务
1110,conversion,转变
1111,needle,指针，针
1112,deterioration,恶化，退化
1113,fault,过失
1114,relay,接替，转播
1115,shrank,收缩(shrink过去式)
1116,transmit,传播，传导
1117,incidentally,顺便地，附带
1118,notably,显著地，尤其
1119,worldwide,世界范围地，全世界
1120,rigor,严格
1121,readjust,重新调整，再调整
1122,prolong,延长
1123,redefine,重新定义
1124,controversial,受到争议的
1125,degeneration,退化，变质
1126,malicious,恶毒的
1127,widen,拓宽，变宽
1128,density,密度
1129,metropolitan,大都市的
1130,prominent,卓越的，突出的
1131,prevalence,流行，普遍
1132,compact,紧密的，紧凑的
1133,correlation,相关，关联
1134,simulate,模拟，模仿
1135,momentum,动力，势头
1136,fixture,固定装置
1137,proposition,提议，主题
1138,dynamics,动力学
1139,descent,"血统, 后裔"
1140,affiliation,隶属关系，单位团体
1141,perception,看法；意识
1142,permeate,渗透
1143,recruiter,招聘者
1144,dilute,稀释，冲淡
1145,prioritize,优先
1146,privileged,有特权的
1147,landmark,有重大意义或影响的
1148,extracurricular,课外的
1149,deprivation,剥夺，匮乏
1150,cater,迎合
1151,pierce,刺穿
1152,surpass,超过
1153,target,目标；把…作为目标
1154,ready,乐意的，愿意的
1155,alternatively,二选一地；非此即彼
1156,chronically,慢性地；持久地
1157,frame,设计，建造
1158,mournful,悲哀的；令人惋惜的
1159,cultivate,培养
1160,cornerstone,基石
1161,legalize,合法化
1162,rigid,严格的
1163,certify,保证，证明
1164,orbit,轨道
1165,astronomical,天文数字的
1166,Automatically,自动地；不经思考地
1167,existence,存在，生存
1168,intolerant,无法容忍的
1169,occupation,职业
1170,slightly,轻微地
1171,exploit,开发，开采
1172,regarding,关于
1173,ecosystem,生态系统
1174,noted,著名的
1175,incorporate,合并；体现
1176,interactive,互相作用的，互相影响的
1177,novel,新颖的
1178,mismanagement,管理不当
1179,irrational,不合理的，不理性的
1180,groundless,无理由的，无根据的
1181,restructure,调整，重建
1182,stimulus,刺激
1183,feasible,可行的
1184,adaptation,适应；改编
1185,institute,研究所，学会，学院
1186,biochemistry,生物化学
1187,entrepreneur,企业家
1188,arise,出现
1189,ascend,上升
1190,combination,组合，结合
1191,definite,一定的，确切的
1192,preserve,保存，保护
1193,program,计划，安排
1194,proximately,近似，接近
1195,lobbyist,游说者
1196,redundant,过剩的；失业的，被解雇的
1197,insurer,保险公司；承保人
1198,overestimate,高估
1199,cropland,农田
1200,irrigation,灌溉
1201,contaminate,污染，弄脏
1202,untreated,未经处理的
1203,sanitation,卫生环境，卫生设备
