序号,核心词汇,简要解释
88,sensitively,易感知地，神经过敏地
89,supervise,监督
90,bridge,弥合（差距），消除（分歧）
91,remove,祛除，去掉
92,disgrace,耻辱
93,gigantic,巨大的，庞大的
94,drag,拖拽； 吃力地往前拉
95,precaution,预防措施
96,crude,粗糙的，拙劣的
97,downside,负面
98,grab,抢先，抢占
99,deceive,欺骗；行骗
100,juggle,同时应付
101,premature,过早的
102,shortlist,把…列入候选名单;提名
103,ambiguous,模棱两可的
104,conversely,相反地
105,dismal,糟糕的
106,democratic,民主的
107,credit,荣誉，声誉
108,hospitality,好客
109,Bible,圣经
110,calibre,能力; 水准
111,loan,贷款
112,eventual,最终的
113,contemplate,沉思；深思熟虑
114,feature,特征，特点
115,circulation,循环
116,trivialization,琐碎化；轻视；平凡
117,smack,打，掌掴
118,elate,得意的
119,hippie,嬉皮士
120,formula,准则
121,caution,注意（事项）
122,skeptical,怀疑的；怀疑论的
123,sociology,社会学
124,cruise,航游，巡航
125,restrict,限制，约束
126,authentic,真实的
127,criterion,标准
128,compelling,令人信服的；引人入胜的
129,insult,侮辱
130,principal,校长
131,legend,传说，传奇
132,braid,把（头发）梳成辫子;编织
133,resourceful,足智多谋的；机智的
134,mythology,神话学
135,explanatory,解释的; 说明的
136,evade,逃避；规避；逃脱
137,ordeal,痛苦的经历
138,atrophy,萎缩
139,approachable,容易接近的，友善的
140,combination,结合体，混合物
141,cue,暗示
142,conservative,保守的
143,characteristic,特征
144,seize,up（机器等）卡住
145,revealing,发人深省的
146,release,发布，发行;释放
147,overlook,忽视，忽略
148,quilt,缝制（被褥）
149,contagious,有感染力的；会蔓延的
150,immigration,移民
151,crack,破裂
152,motto,箴言，座右铭
153,crave,渴望，热望
154,considerate,体贴的，为他人考虑的
155,lust,欲望;
156,associate,使有联系
157,dispute,争论；对...提出质疑
158,ailment,小病
159,gadget,小配件，小装置
160,thatcher,盖屋匠
161,virtually,几乎
162,oblong,长方形的
163,detect,察觉；侦查
164,civil,公民的，市民的
165,thaw,使融解；解冻
166,impair,损害；削弱
167,lung,肺
168,sophisticated,复杂的，老于世故的
169,presumably,据推测； 大概
170,sin,罪恶
171,freshmen,大一新生
172,seduce,勾引，引诱
173,pupil,学生
174,attorney,（尤指出庭的）律师
175,prohibition,禁止；禁令
176,underachieve,学习成绩不良
177,mortgage,抵押贷款
178,lizard,蜥蜴
179,interns,住院实习医生
180,execute,实行；执行；处死
181,spouse,配偶，夫妻
182,consequence,结果
183,torrent,急流，湍流
184,blockade,封锁
185,structure,结构
186,infinite,无限的
187,disclose,公开；揭露
188,safe,保险箱
189,paranormal,超自然的；不平常的
190,relative,亲属
191,surge,猛增；急剧上升
192,lift,（情绪，心境）变好
193,totemic,图腾的；有图腾的
194,emergence,冒出；涌现
195,assembly,组装
196,complacent,自满的
197,signify,表示
198,inspiration,灵感
199,assume,假设，臆断
200,expel,驱逐；赶走；把…除名
201,illusion,错觉
202,ambitious,野心勃勃的
203,desperately,极度地
204,picturesque,别具一格的;如画般的
205,clue,线索
206,dove,鸽
207,adolescent,青春期的；青少年
208,accessory,配饰；附件
209,wary,谨慎的
210,erase,清除
211,tow,拖，拉； 牵引
212,generations,数代人
213,file,文件
214,tough,困难的
215,warranty,保证；担保；保修单
216,appearance,外貌，外表
217,detention,拘留
218,delegate,委派 n.代表
219,granite,花岗岩
220,withdraw,取款
221,transition,过渡，转变
222,fate,命运
223,spontaneous,自发的； 自然的
224,stability,稳定
225,instantaneously,即刻；突如其来地
226,numerous,许多的，无数的
227,manifest,显示，表明
228,bandwagon,时尚，潮流
229,tape,系，捆
230,assessment,评估； 评价
231,exclusive,排外的，唯一的
232,theory,理论
233,particularly,特别地
234,proclaim,宣告
235,formality,遵守礼节；正式手续；例行公事
236,appositive,同位语
237,chore,杂务
238,attendant,服务人员
239,tireless,不疲倦的
240,apprenticeship,学徒期；学徒身份
241,doze,瞌睡
242,elaborate,精心制作 vi.详细描述
243,enforce,强迫服从；实施，执行；加强
244,dispel,消除（疑虑等）
245,vigilant,警惕的，警醒的
246,insure,为...上保险
247,spectator,观众
248,effective,有效的
249,fidgety,坐立不安的，烦躁不安的
250,gloomy,阴暗的
251,diminish,减少
252,gash,伤口
253,nominate,提名；任命
254,arthritis,关节炎
255,pandemic,流行病
256,cautious,谨慎的
257,celebrity,名人
258,dread,担忧，畏惧
259,transform,改观
260,trap,使落入圈套
261,relay,转告；传送
262,interact,互动；相互交往
263,ultimately,最后；根本上
264,outcast,被逐出者
265,definite,明确的
266,betray,背叛
267,contradiction,矛盾
268,headquarters,总部
269,organic,有机的
270,resolutely,坚决地
271,hibernate,（动物）冬眠
272,dreary,枯燥的，沉闷的
273,civic,城市的；城镇的；市民的
274,hazard,危险
275,buzz,发出嘈杂的谈话声
276,hieroglyphics,象形字
277,downright,十足地，彻底地
278,excel,胜过（他人）
279,combine,将...相结合
280,suspending,延迟
281,erect,建立
282,offset,弥补
283,solution,解决
284,suspense,挂念; 悬念
285,vehicle,交通工具
286,primal,最初的；原始的；主要的
287,charitable,仁慈的
288,furious,狂怒的
289,comically,滑稽地
290,funk,乡土音乐
291,exclusively,排他地；独家的
292,mercifully,幸运地；仁慈地
293,imitate,模仿，仿效；仿造，仿制
294,cater,迎合；满足需要
295,convert,转变，变化；皈依
296,schedule,安排
297,amplify,放大
298,eternal,永久的
299,preinstall,预装
300,specially,特意地；专门地
301,psychiatrist,精神科医生
302,privacy,（不受干扰的）独处
303,consumption,消费量
304,application,应用
305,yearn,渴望
306,tattered,破旧的
307,meditation,冥想
308,confusion,混乱
309,various,各种各样的
310,especially,尤其，特别是
311,blank,空白的；空虚的；单调的
312,deformity,畸形
313,splendid,壮观的
314,complex,复杂的，错综复杂的
315,fertilizer,肥料
316,passionate,有激情的；热烈的，激昂的
317,animated,栩栩如生的
318,instant,立即的
319,amateur,外行
320,attendance,出席人数
321,assignment,作业
322,generous,慷慨的
323,indolence,懒惰；懒散
324,landscape,风景，景色
325,perspiration,汗水，汗
326,implant,灌输
327,bias,偏见
328,drowsy,昏昏欲睡的
329,amusement,娱乐
330,inundate,应接不暇
331,faculty,全体教员
332,immortality,永生，不朽
333,multiple,多个的
334,lure,诱惑
335,brilliant,才华横溢的
336,tantalize,使干着急
337,insecurity,不安全
338,secretion,分泌；分泌物
339,rosy,美好的
340,ensure,保证，确保
341,outlet,（感情的）发泄途径
342,herculean,艰巨的
343,exhaustive,无遗漏的，详尽的
344,rehearse,彩排，预演
345,light,点燃
346,attain,获得；得到
347,imbalance,不平衡
348,tease,戏弄，取笑
349,oval,椭圆形的
350,pause,暂停
351,genetically,基因地
352,embrace,包括，拥抱
353,industrialized,工业的
354,banquet,宴会
355,physical,自然（界）的
356,demonstrate,证明，证实
357,tenant,承租人；房客；佃户
358,adrift,漫无目的地； 漂浮着
359,still,（使）安静，（使）静止
360,swell,肿胀
361,dwell,居住
362,doom,使……的灭亡成为必然；；劫数
363,vital,至关重要的
364,manipulation,操纵，控制
365,outstanding,杰出的
366,extensive,广泛的，大量的
367,adversely,不利地
368,overcharge,对...要价过高
369,enclose,附入
370,extrovert,性格外向的人
371,conducive,有益于...的
372,tendency,倾向，趋势
373,cursor,光标
374,frustrating,令人沮丧的
375,humiliation,丢脸
376,barrier,障碍，隔阂
377,attachment,依恋
378,curiosity,好奇心
379,awkward,笨拙的；尴尬的
380,clumsy,笨拙的
381,reinforce,强化；加强
382,discriminate,歧视
383,assistance,帮助，援助
384,address,写名字地址
385,bankrupt,破产的
386,repel,抵制；使厌恶
387,chaos,混乱
388,receipt,收据
389,plumber,管道工，水管工
390,outstretch,伸出
391,mimic,模仿
392,trigger,vt.扣…的扳机
393,valiant,勇敢的，英勇的
394,flute,长笛
395,inheritance,继承
396,load,负荷
397,suspension,"暂令,停止，停学，停赛等"
398,upgrade,提高；升级
399,specifically,明确地，具体的
400,temporary,临时的，暂时的
401,imminent,迫在眉睫的；即将来临的
402,inclined,倾向于...的；有...意向的
403,fundamental,根本的，基本的
404,inspire,鼓舞; 激励
405,deliver,供给，提供
406,seniority,资历
407,sluggish,行动缓慢的，反应迟缓的
408,literary,文学（上）的
409,respiration,呼吸
410,preference,偏爱
411,thorough,彻底的，全面的
412,calendar,日历，月历
413,utilize,利用；使用
414,respectable,值得尊敬的；人格高尚的
415,incredibly,非常；极其
416,refreshment,点心
417,wrench,扳手v.猛扭；扭伤；曲解；折磨
418,quell,制止，平息，镇压
419,gratitude,感激（之情）；感谢
420,overwhelming,难以抗拒的
421,monarchy,君主制，君主政体
422,tutor,导师
423,caste,(印度世袭的)社会等级
424,facility,设备，设施
425,squeak,短促的尖叫声
426,scorn,轻蔑vt.轻蔑；藐视
427,scramble,爬，攀登
428,habitual,习惯的
429,dynamic,充满活力的
430,autopsy,尸体剖检
431,parallel,平行的
432,congress,国会；大会
433,stethoscope,听诊器
434,shrewd,精明的；机灵的
435,gesture,做手势
436,supplier,供应商
437,malnourished,营养不良的
438,manipulate,操纵；巧妙地处理
439,variable,多变的，易变的
440,multiplication,乘法
441,expand,扩展，变大
442,perseverance,毅力
443,literate,有文化的，识字的
444,appropriate,恰当的
445,mystic,神秘的
446,exhaustion,耗尽，疲惫
447,boarder,寄宿者
448,gossip,流言飞语
449,bracket,括号
450,concept,观念；想法
451,sumptuous,华丽的；奢侈的
452,productive,多产的
453,wholesome,有益健康的
454,canal,运河，沟渠
455,primitive,原始的；远古的
456,stun,震惊
457,dizzy,眩晕的
458,pneumonia,肺炎
459,attending,主治医生
460,highlight,强调
461,crucial,至关重要的
462,paralegal,辅助律师业务的
463,desirous,渴望…的
464,presence,出席
465,disseminate,散布，传播
466,shabby,破烂的，衣着寒酸的
467,reconcile,调和；和解
468,comprehensive,全面的，广泛的
469,blister,水泡
470,session,（法庭，议会等）会议，开会；学期；学年
471,outsource,外包
472,commentator,评论员
473,shield,防护物，盾牌
474,available,可得到的
475,grit,毅力
476,fair,浅色的
477,acquaintance,"(对某人的)相识,认识;熟人(with someone)"
478,grasp,抓住；领会
479,righteousness,正义
480,civilized,文明的；有教养的
481,strengthen,加强
482,accompany,陪伴，陪同
483,preliminary,初步的，开始的
484,Mistletoe,槲寄生
485,trumpet,喇叭
486,imply,暗示
487,personality,人格，人性
488,impression,印象
489,civilian,平民百姓的
490,insecure,不安全的
491,emerge,出现，浮现
492,companionship,陪伴
493,corrupt,腐败的，贪污的；堕落的vt.使出错，破坏
494,torment,折磨，使痛苦
495,shiny,发亮的
496,blare,发出响而刺耳的声音
497,elicit,使发出；引出
498,source,根源；源头
499,virtual,实质上的，实际上的
500,masterpiece,杰作
501,gasp,倒抽气
502,mechanical,机械的
503,delicate,微妙的；精美的;脆弱的
504,considerable,相当多的，可观的
505,expanse,广阔的区域
506,restrain,抑制，遏制
507,monsoon,雨季;季风
508,resemblance,相似
509,illustration,插图；说明；例证
510,surest,无疑的
511,ample,足够的；丰富的
512,charge,充电
513,relieve,解除； 缓解
514,whistle,口哨
515,deter,阻止，制止
516,claim,要求（拥有）
517,manufacturer,制造商，制造厂
518,represent,象征；代表
519,deprive,剥夺，使丧失
520,abstract,抽象的
521,pyramid,金字塔
522,afterworld,阴间
523,subsequently,后来地
524,pessimistic,悲观的
525,prolong,延长
526,slot,狭缝；狭槽
527,Ecotourism,生态旅游
528,startle,吃惊
529,symptom,症状
530,discrimination,歧视
531,plug,塞子，插头
532,twitter,推特
533,typify,作为...的典型
534,consult,请教
535,neglect,忽略
536,produce,产生，导致
537,terrorize,恐吓，威胁
538,welfare,福利
539,increasingly,越来越多地；日益
540,prototype,原型，雏形
541,scripted,照原稿宣读的
542,superb,卓越的，极好的
543,hitchhiker,搭便车旅行者
544,slump,暴跌 n.萧条期，下滑期
545,protest,&vt.抗议，反对
546,morale,士气
547,jovial,愉快的
548,diversify,使多样化，使变化
549,curriculum,课程
550,annoying,恼人的
551,cite,引用，引证
552,lump,肿块
553,entity,实体
554,undertake,承担；从事
555,gilded,镀金的
556,generative,生产的，有生产力的
557,float,漂浮
558,superstition,迷信
559,makeshift,临时替代的； 权宜的
560,offspring,后代，子孙
561,reliability,可靠性
562,explosion,爆炸
563,determiner,限定词
564,scant,少量的，不足的
565,mere,仅仅，只不过
566,utter,彻底的，完全的
567,syndrome,综合征
568,weapon,武器
569,alternative,替代的；备选的；其他的；可供选择的事物
570,deadly,致命的
571,inhibition,抑制
572,inconvenience,不方便
573,tailor,使适应（特定需要）
574,siren,警报声
575,hydrostatics,流体静力学
576,muddy,泥泞的
577,revenue,收益
578,breach,破坏，违反
579,wholesale,批发销售
580,desperation,绝望
581,bugle,冲锋号
582,revolution,革命
583,proportion,比例
584,convince,"使信服,使相信"
585,ribbon,缎带，丝带
586,chase,追逐
587,unconscious,无意识的
588,gutter,（路边）排水沟
589,integral,构成整体所必需的
590,contemporary,当代的；同时代的
591,archaeologist,考古学家
592,indulgent,放纵的，纵容的
593,humanitarian,人道主义者
594,promulgate,颁布，公布
595,essence,本质，实质
