序号,核心词汇,简要解释
160,apostrophe,省略符号，撇号；呼语，顿呼
161,appalling,可怕的；令人震惊的；使惊愕；惊吓（appal的ing形式）
162,apparatus,装置，设备；仪器；器官
163,apparent,显然的；表面上的
164,appeal,呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判；呼吁，请求；吸引力，感染力；上诉；诉诸裁判
165,appear,出现；显得；似乎；出庭；登场
166,appetite,食欲；嗜好
167,applaud,赞同；称赞；向…喝彩
168,appliance,器具；器械；装置
169,applicant,申请人，申请者；请求者
170,application,应用；申请；应用程序；敷用
171,apply,申请；涂，敷；应用
172,appointee,被任命者
173,appreciable,可感知的；可评估的；相当可观的
174,approach,方法；途径；接近；接近；着手处理
175,appropriate,适当的；恰当的；合适的；占用，拨出
176,approve,批准；赞成；为…提供证据
177,approximate,近似；使…接近；粗略估计；[数] 近似的；大概的
178,apricot,杏，杏子；[园艺] 杏树；杏黄色；杏黄色的
179,apron,围裙；[航] 停机坪；舞台口；着围裙于；围绕
180,apt,恰当的；有…倾向的；灵敏的；(Apt)人名；(法、波、英)阿普特
181,aptitude,天资；自然倾向；适宜
182,aquarium,水族馆；养鱼池；玻璃缸
183,aquatic,水生的；水栖的；在水中或水面进行的；水上运动；水生植物或动物
184,arc,弧（度）；弧光（全称electric arc）；弧形物；天穹；圆弧的；反三角函数的；形成电弧；走弧线
185,archaeology,考古学
186,archbishop,大主教；总教主
187,architect,建筑师
188,area,区域，地区；面积；范围
189,arena,舞台；竞技场
190,argumentative,好辩的；辩论的；争辩的
191,arid,干旱的；不毛的，[农] 荒芜的
192,arise,出现；上升；起立；(Arise)人名；(西)阿里塞；(日)在濑(姓)
193,aristocrat,贵族
194,armament,武器；军备
195,armour,盔甲；装甲；护面
196,armpit,腋窝
197,arouse,引起；唤醒；鼓励
198,array,数组，阵列；排列，列阵；大批，一系列；衣服；排列，部署；打扮
199,arrest,逮捕；阻止；吸引；逮捕；监禁
200,arrogance,自大；傲慢态度
201,artery,动脉；干道；主流
202,artificial,人造的；仿造的；虚伪的；非原产地的；武断的
203,artillery,火炮；大炮；炮队；炮术
204,artistic,艺术的；风雅的；有美感的
205,ascend,上升；登高；追溯
206,ashore,在岸上；向岸；在岸上的；在陆上的
207,ashtray,烟灰缸
208,ask,问，询问；要求；需要；邀请；讨价；(Ask)人名；(芬、瑞典)阿斯克
209,aspect,方面；方向；形势；外貌
210,asphalt,沥青；柏油；以沥青铺；用柏油铺成的
211,aspirin,阿司匹林（解热镇痛药）
212,assassin,刺客，暗杀者
213,assault,攻击；袭击
214,assemble,集合，聚集；装配；收集
215,assert,维护，坚持；断言；主张；声称
216,assess,评定；估价；对…征税
217,asset,资产；优点；有用的东西；有利条件；财产；有价值的人或物
218,assign,分配；指派；[计][数] 赋值
219,assist,帮助；助攻；参加；出席
220,associate,交往；结交；同事，伙伴；关联的事物；副的；联合的
221,association,协会，联盟，社团；联合；联想
222,assume,假定；设想；承担；采取
223,assure,保证；担保；使确信；弄清楚
224,assuredly,确实地；确信地
225,astronomy,天文学
226,athletic,运动的，运动员的；体格健壮的
227,atlas,地图集；寰椎
228,atmospheric,大气的，大气层的
229,atomic,原子的，原子能的；微粒子的
230,attach,使依附；贴上；系上；使依恋
231,attain,达到，实现；获得；到达；成就
232,attempt,企图，试图；攻击；企图，试图；尝试
233,attendance,出席；到场；出席人数；考勤
234,attention,注意力；关心；立正！（口令）
235,attentive,留意的，注意的
236,attic,阁楼；顶楼；鼓室上的隐窝
237,attitude,态度；看法；意见；姿势
238,attorney,律师；代理人；检查官
239,attribute,属性；特质；归属；把…归于
240,auction,拍卖；竞卖；拍卖
241,audio,声音的；[声] 音频的，[声] 声频的
242,audit,审计；[审计] 查账
243,authentic,真正的，真实的；可信的
244,authority,权威；权力；当局
245,autobiography,自传；自传文学
246,automate,使自动化，使自动操作
247,automobile,汽车；驾驶汽车
248,autonomy,自治，自治权
249,auxiliary,助动词；辅助者，辅助物；附属机构；辅助的；副的；附加的
250,availability,可用性；有效性；实用性
251,avalanche,雪崩
252,avenge,替…报仇
253,average,平均；平均数；海损；平均的；普通的；通常的；算出…的平均数；将…平均分配；使…平衡
254,aviation,航空；飞行术；飞机制造业
255,avoid,避免；避开，躲避；消除
256,award,授予；判定；奖品；判决
257,awe,使敬畏；使畏怯；敬畏
258,awful,可怕的；极坏的；使人敬畏的
259,awkward,尴尬的；笨拙的；棘手的；不合适的
260,axe,斧；削减；用斧砍
261,axiom,[数] 公理；格言；自明之理
262,axis,轴；轴线；轴心国
263,axle,车轴；[车辆] 轮轴
264,bachelor,学士；单身汉；（尚未交配的）小雄兽
265,backbone,支柱；主干网；决心，毅力；脊椎
266,backup,支持；后援；阻塞；支持的；候补的；做备份
267,backyard,后院；后庭
268,badge,徽章；证章；标记；授给…徽章
269,baggy,袋状的，膨胀的；宽松而下垂的
270,bail,保释，保释人；保释金；杓；保释，帮助某人脱离困境；往外舀水
271,bait,引诱；在…中放诱饵；折磨；饵；诱饵
272,baker,面包师；面包工人；（便携式）烘炉
273,bale,包；捆；灾祸；不幸；将打包
274,ballot,投票；投票用纸；投票总数；投票；抽签决定
275,band,带，环；[物] 波段；(演奏流行音乐的) 乐队；用带绑扎；给镶边
276,bandit,强盗，土匪；恶棍；敲诈者
277,banister,栏杆的支柱；楼梯的扶栏
278,bankrupt,破产的；使破产；[经] 破产者
279,banner,横幅图片的广告模式
280,banquet,宴会，盛宴；宴请，款待；宴请，设宴款待
281,baptize,给…施浸礼；命名；使经受考验（等于baptise）；(Baptize)人名；(法)巴蒂泽
282,barbarous,野蛮的；残暴的
283,barge,蹒跚；闯入；驳船；游艇
284,barley,大麦
285,barn,谷仓；畜棚；车库；靶（核反应截面单位）；把…贮存入仓
286,barometre,气压表；晴雨表
287,baron,男爵；大亨；巨头
288,barracks,兵营，营房；简陋的房子；警察所（barrack的复数）；使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）
289,barrel,把……装入桶内；桶；枪管，炮管
290,barren,贫瘠的；不生育的；无益的；沉闷无趣的；空洞的；荒地
291,barrier,障碍物，屏障；界线；把…关入栅栏
292,base,基础；底部；垒；卑鄙的；低劣的；以…作基础
293,bass,鲈鱼；男低音；低音部；椴树；低音的
294,bastard,私生的；私生子
295,batch,一批；一炉；一次所制之量；分批处理
296,batter,击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜；猛击；打坏；使向上倾斜
297,battle,战役；斗争；斗争；作战
298,battlefield,战场；沙场
299,beacon,灯塔，信号浮标；烽火；指路明灯；照亮，指引
300,bead,珠子；滴；念珠；形成珠状，起泡
301,beak,[鸟] 鸟嘴；鹰钩鼻子；地方执法官；男教师
302,beaker,烧杯；大口杯
303,beat,打；打败；拍子；敲击；有规律的一连串敲打；筋疲力尽的；疲惫不堪的
304,beetle,急忙来回；突出；甲虫；大槌
305,beforehand,事先；预先；提前的；预先准备好的
306,beg,乞讨；恳求；回避正题；(Beg)人名；(德、塞、巴基)贝格
307,beggar,乞丐；穷人；家伙；使贫穷；使沦为乞丐
308,beginner,初学者；新手；创始人
309,behalf,代表；利益
310,behavior,行为，举止；态度；反应
311,bellow,大声喊叫；大声发出；吼叫声；轰鸣声
312,belongings,[经] 财产，所有物；亲戚
313,beloved,心爱的；挚爱的；心爱的人；亲爱的教友
314,benefit,利益，好处；救济金；有益于，对…有益
315,berry,浆果（葡萄，番茄等）；采集浆果
316,berth,卧铺；停泊处，锚位；差事；使……停泊；为……提供铺位
317,besiege,围困；包围；烦扰
318,bestow,使用；授予；放置；留宿
319,bet,打赌，赌注；被打赌的事物；打赌；敢断定，确信
320,betray,背叛；出卖；泄露（秘密）；露出…迹象
321,beware,当心，小心
322,bewilder,使迷惑，使不知所措
323,bias,偏见；偏爱；斜纹；乖离率；使存偏见；偏斜的；偏斜地
324,bibliography,参考书目；文献目录
325,bid,投标；出价；表示；吩咐；出价；叫牌；努力争取
326,bilateral,双边的；有两边的
327,bilingual,双语的；通两种语言的人
328,bin,箱子，容器；二进制；把…放入箱中
329,binary,[数] 二进制的；二元的，二态的
330,bind,结合；装订；有约束力；过紧；捆绑；困境；讨厌的事情；植物的藤蔓
331,binoculars,[光] 双筒望远镜；[光] 双筒镜，[光] 双目镜
332,biochemistry,生物化学
333,biographic,传记的；传记体的
334,biological,生物的；生物学的
335,biotechnology,[生物] 生物技术；[生物] 生物工艺学
336,birch,桦木；桦树；桦条；用桦条鞭打
337,birthrate,出生率
338,bishop,（基督教的）主教；（国际象棋的）象
339,blacken,使变黑；诽谤，诋毁；(Blacken)人名；(英)布莱肯
340,blacksmith,铁匠；锻工
341,bladder,膀胱；囊状物，可充气的囊袋
342,blade,叶片；刀片，刀锋；剑
343,bland,乏味的；温和的；冷漠的；使…变得淡而无味；除掉…的特性；变得平淡无奇；丧失特性；(Bland)人名；(英)布兰德
344,blank,空白的；空虚的；单调的；空白；空虚；空白表格；使…无效；使…模糊；封锁
345,blast,爆炸；冲击波；一阵；猛攻
346,blaze,在树皮上刻路标；公开宣布；火焰，烈火；光辉；情感爆发
347,bleach,使漂白，使变白；漂白剂
348,bleak,阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
349,bleat,咩咩叫；胡扯；抱怨；咩咩叫声
350,blend,混合；混合；掺合物
351,blessing,祝福；赐福；祷告；使幸福（bless的ing形式）；使神圣化；为…祈神赐福
352,blink,眨眼；使…闪烁；眨眼；瞬间；闪光
353,blister,水泡；水疱；气泡；砂眼；起泡剂；使起水泡；痛打；猛烈抨击
354,blockade,封锁；阻塞
355,blond,金发的；白肤碧眼金发的人
356,bloom,花；青春；旺盛；使开花；使茂盛
357,blot,吸墨水；弄上墨渍或污渍；污点，污渍；墨水渍
358,blueprint,计划；制成蓝图；蓝图，设计图；计划
359,bluff,吓唬；绝壁；断崖；吓唬；愚弄；直率的；陡峭的
360,blunt,钝的，不锋利的；生硬的；直率的；使迟钝；(Blunt)人名；(英)布伦特
361,board,董事会；木板；甲板；膳食；上（飞机、车、船等）；用板盖上；给提供膳宿
362,boast,夸口说，自吹自擂说；以有…而自豪；自夸；值得夸耀的事物，引以为荣的事物
363,bodily,整体地；亲自地；以肉体形式；身体的；肉体的；(Bodily)人名；(英)博迪利
364,bodyguard,保镖
365,boiler,锅炉；烧水壶，热水器；盛热水器
366,bolt,螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷；筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出；突然地；像箭似地；直立地
367,bonus,奖金；红利；额外津贴
368,bony,骨的；多骨的；瘦骨嶙峋的；似骨的；(Bony)人名；(法)博尼
369,boom,使兴旺；发隆隆声；繁荣；吊杆；隆隆声
370,borderline,边界线，边界；界线；边界的；暧昧的
371,bosom,胸；胸怀；中间；胸襟；内心；乳房；内部；怀抱；把…藏在心中；知心的；亲密的
372,bossy,专横的；浮雕装饰的；爱指挥他人的；母牛；牛犊
373,bottleneck,瓶颈；障碍物
374,bough,大树枝
375,bracelet,手镯；手链
376,brandy,白兰地酒
377,brew,酿造；酝酿；啤酒；质地
378,brewery,啤酒厂
379,bristle,猪鬃；刚毛；发怒；竖起
380,brochure,手册，小册子
381,brooch,（女用的）胸针，领针
382,brook,忍受；容忍；小溪；小河
383,brotherly,兄弟的；兄弟般的；亲切的；兄弟般地；亲切地
384,bubble,气泡，泡沫，泡状物；透明圆形罩，圆形顶；沸腾，冒泡；发出气泡声
385,buck,（美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
386,buckle,扣住；变弯曲；皮带扣，带扣
387,Buddha,佛陀；佛像
388,budget,预算，预算费；安排，预定；把…编入预算；廉价的
389,buffalo,[畜牧][脊椎] 水牛；[脊椎] 野牛（产于北美）；水陆两用坦克
390,bugle,喇叭；军号；筋骨草属植物；吹号集合
391,bulb,电灯泡；鳞茎；球状物；生球茎；膨胀成球状
392,bulldozer,推土机；欺凌者，威吓者
393,bully,欺凌弱小者；土霸；第一流的；特好的；欺负；威吓；很；十分；好；妙
394,bungalow,平房；小屋
395,buoy,[水运] 浮标；浮筒；救生圈；航标；使浮起；支撑；鼓励
396,burden,负担；责任；船的载货量；使负担；烦扰；装货于
397,bureau,局，处；衣柜；办公桌
398,burglar,夜贼，窃贼
399,bushel,蒲式耳；修整（衣服等）
400,butler,男管家；仆役长
401,byte,字节；8位元组
402,cabin,小屋；客舱；船舱；把…关在小屋里
403,cabinet,内阁；橱柜；展览艺术品的小陈列室；内阁的；私下的，秘密的
404,cable,缆绳；电缆；海底电报；打电报
405,cactus,[园艺] 仙人掌
406,cadet,幼子，次子；实习生；候补军官；陆海军官学校的学员
407,cadre,干部；基础结构；骨骼
408,calcium,[化学] 钙
409,calculate,计算；以为；作打算
410,calculation,计算；估计；计算的结果；深思熟虑
411,calendar,日历；[天] 历法；日程表；将…列入表中；将…排入日程表
412,calf,[解剖] 腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
413,caliber,[军] 口径；才干；水准（等于calibre）；器量
414,calligraphy,书法；笔迹
415,calorie,卡路里（热量单位）
416,campaign,作战；参加竞选；参加活动；运动；活动；战役
417,campus,（大学）校园；大学，大学生活；校园内的草地
418,canary,[鸟] 金丝雀；淡黄色
419,candidate,候选人，候补者；应试者
420,cane,手杖；藤条；细长的茎；以杖击；以藤编制
421,canine,犬的；犬齿的；犬科的；似犬的；犬；[解剖] 犬齿
422,cannery,罐头工厂
423,canon,标准；教规；正典圣经；教士
424,Cantonese,广东人；广东话；广州的，广州人的
425,canvas,帆布；用帆布覆盖，用帆布装备；帆布制的
426,canyon,峡谷
427,capability,才能，能力；性能，容量
428,capable,能干的，能胜任的；有才华的
429,capacity,能力；容量；资格，地位；生产力
430,capitalism,资本主义
431,capsule,胶囊；[植] 蒴果；太空舱；小容器；压缩的；概要的；压缩；简述
432,caption,标题；字幕；说明；逮捕；加上说明；加上标题
433,capture,"俘获；夺得；捕捉，拍摄,录制；捕获；战利品，俘虏"
434,caravan,（可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车；乘拖车度假；参加旅行队旅行
435,carcass,（人或动物的）尸体；残骸；（除脏去头备食用的）畜体
436,cardboard,[纸] 硬纸板；纸板箱；卡纸板；不真实的；硬纸板制的
437,cardigan,羊毛衫，开襟羊毛衫（等于cardigan sweater）
438,cardinal,红衣主教；枢机主教；鲜红色；【鸟类】(北美)主红雀；主要的，基本的；深红色的
439,career,生涯；职业；事业；速度，全速；作为毕生职业的；全速前进，猛冲
440,carefree,无忧无虑的；不负责的
441,careful,仔细的，小心的
442,cargo,货物，船货
443,carnival,狂欢节，嘉年华会；饮宴狂欢
444,carol,欢乐地歌唱；唱耶诞颂歌；颂歌，赞美诗；欢乐之歌
445,carpenter,木匠，木工；当木匠，做木匠工作
446,carry,拿，扛；携带；支持；搬运；运载；[计] 进位；射程
447,cart,二轮运货马车；用车装载
448,carton,纸板箱；靶心白点；用盒包装；制作纸箱
449,cashier,出纳员；司库；收银员；解雇；抛弃
450,casino,俱乐部，赌场；娱乐场
451,cask,木桶，桶；装入桶内
452,cassette,盒式磁带；暗盒；珠宝箱；片匣
453,casual,随便的；非正式的；临时的；偶然的；便装；临时工人；待命士兵
454,catalogue,目录；（美）大学情况一览；把…编入目录
455,cataract,[眼科] 白内障；大瀑布；暴雨，洪水；奔流；倾注
456,catastrophe,大灾难；大祸；惨败
457,catch,赶上；抓住；感染；了解；捕捉；捕获物；窗钩
458,categorize,分类
459,cater,投合，迎合；满足需要；提供饮食及服务；(Cater)人名；(英)凯特
460,caterpillar,[无脊椎] 毛虫；履带车；有履带装置的
461,Catholic,天主教的；宽宏大量的；天主教徒；罗马天主教
462,cauliflower,花椰菜，菜花
463,cause,原因；事业；目标；引起；使遭受
464,caution,小心，谨慎；警告，警示；警告
465,cavalry,骑兵；装甲兵；装甲部队
466,ceaseless,不断的；不停的
467,celebrated,著名的；有名望的；庆祝（celebrate的过去式和过去分词）
468,celebrity,名人；名声
469,celery,[园艺] 芹菜
470,cello,大提琴
471,cellular,细胞的；多孔的；由细胞组成的；移动电话；单元
472,celluloid,赛璐珞；（美俚）电影（胶片）
473,Celsius,摄氏的；摄氏度
474,cement,巩固，加强；用水泥涂；接合；水泥；接合剂
475,cemetery,墓地；公墓
476,census,实施统计调查；人口普查，人口调查
477,ceramic,陶瓷的；陶器的；制陶艺术的；陶瓷；陶瓷制品
478,cereal,谷类，谷物；谷类食品；谷类植物；谷类的；谷类制成的
479,ceremony,典礼，仪式；礼节，礼仪；客套，虚礼
480,certainty,必然；确实；确实的事情
481,chair,椅子；讲座；（会议的）主席位；大学教授的职位；担任（会议的）主席；使…入座；使就任要职
482,challenge,挑战；怀疑；向…挑战；对…质疑
483,chamber,（身体或器官内的）室，膛；房间；会所；室内的；私人的，秘密的；把…关在室内；装填（弹药等）
484,champagne,香槟酒；香槟酒色
485,championship,锦标赛；冠军称号；冠军的地位
486,chance,机会，际遇；运气，侥幸；可能性；偶然发生；冒……的险
487,chancellor,总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
488,change,改变；交换；变化；找回的零钱
489,chaos,混沌，混乱
490,chap,小伙子；家伙；龟裂；使皲裂
491,chapel,小礼拜堂，小教堂；礼拜；非国教的
492,characterize,描绘…的特性；具有…的特征
493,charcoal,木炭；炭笔；用木炭画（过去式charcoaled，过去分词charcoaled，现在分词charcoaling，第三人称单数charcoals）
494,chargeable,应支付的；可以控诉的；可充电的；应课税的
495,chariot,二轮战车；驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
496,charity,慈善；施舍；慈善团体；宽容；施舍物
497,charter,特许；包租；发给特许执照；宪章；执照；特许状
498,chase,追逐；追捕；试图赢得；雕镂；追逐；追赶；追击
499,chasm,峡谷；裂口；分歧；深坑
500,chatter,唠叨；喋喋不休；（动物等）吱吱叫；唠叨；饶舌；（动物的）啁啾声；潺潺流水声
501,chauffeur,司机；开车运送
502,checkpoint,检查站，关卡
503,chef,厨师，大师傅
504,cherish,珍爱
505,cherry,樱桃；樱桃树；如樱桃的鲜红色；处女膜，处女
506,chestnut,栗子；栗色；[园艺] 栗树；栗色马；栗色的
507,childish,幼稚的，孩子气的
508,chill,寒冷；寒意；寒心；寒冷的；冷漠的；扫兴的；冷冻，冷藏；使寒心；使感到冷
509,chilli,红辣椒
510,chin,下巴；聊天；引体向上动作；用下巴夹住；与…聊天；在单杠上作引体向上动作
511,chip,削，凿；削成碎片；[电子] 芯片；筹码；碎片；(食物的) 小片; 薄片
512,choir,唱诗班；合唱队；舞蹈队；合唱
513,chop,砍；排骨；商标；削球；剁碎；砍
514,chord,弦；和弦；香水的基调
515,chore,家庭杂务；日常的零星事务；讨厌的或累人的工作
516,chorus,合唱队；齐声；歌舞队；合唱；异口同声地说
517,Christ,基督；救世主；天啊！
518,Christianity,基督教；基督教精神，基督教教义
519,chronic,慢性的；长期的；习惯性的；(Chronic)人名；(英)克罗尼克
520,chrysanthemum,菊花
521,chuckle,咯咯的笑，轻声地笑；轻笑，窃笑
522,chunk,大块；矮胖的人或物
523,churchyard,境内；教堂院落，多做墓地
524,cider,苹果酒；苹果汁
525,circuit,[电子] 电路，回路；巡回；一圈；环道；环行
526,circulate,传播，流传；循环；流通
527,circumference,圆周；周长；胸围
528,circumstance,环境，情况；事件；境遇
529,cite,引用；传讯；想起；表彰
530,citizenship,[法] 公民身份，公民资格；国籍；公民权
531,civic,市的；公民的，市民的
532,claim,提出要求；要求；声称；索赔；断言；值得
